sort_frequency_habit,sort_frequency_nohabit
0.090452261,0.271356784
0.005025126,0.522613065
0.025125628,0.67839196
0.984924623,0.48241206
0.020100503,0.371859296
0.065326633,0.381909548
0.989949749,0.783919598
0.924623116,0.201005025
0.015075377,0.788944724
0.045226131,0.336683417
0.944723618,0.492462312
0.984924623,0.231155779
0.994974874,0.351758794
0.035175879,0.653266332
0,0.773869347
0.819095477,0.190954774
0.959798995,0.185929648
0.994974874,0.472361809
0.005025126,0.628140704
0.005025126,0.507537688
0.934673367,0.025125628
0.005025126,0.175879397
0.020100503,0.618090452
1,0.447236181
0.834170854,0.658291457
1,0.874371859
0.346733668,0.231155779
0.854271357,0.618090452
0.994974874,0.351758794
1,0.386934673
0.964824121,0.341708543
0.824120603,0.386934673
1,0.08040201
0.964824121,0.246231156
0.929648241,0.447236181
0.030150754,0.572864322
0.949748744,0.638190955
1,0.412060302
0,0.371859296
0.040201005,0.190954774
0.010050251,0.512562814
0.030150754,0.507537688
0.025125628,0.221105528
0.984924623,0.211055276
0.010050251,0.824120603
0.959798995,0.638190955
0,0.422110553
0.934673367,0.351758794
0.045226131,0.055276382
0.030150754,0.452261307
0.889447236,0.452261307
0.015075377,0.27638191
0.030150754,0.427135678
0,0.56281407
0.015075377,0.271356784
0,0.648241206
0.994974874,0.427135678
0.969849246,0.557788945
1,0.653266332
0.005025126,0.371859296
0.989949749,0.371859296
0.005025126,0.673366834
0.959798995,0.532663317
0.075376884,0.613065327
0.924623116,0.522613065
0.035175879,0.251256281
0.005025126,0.32160804
0.050251256,0.010050251
0.979899497,0.497487437
0.015075377,0.432160804
0.793969849,0.206030151
0.020100503,0.110552764
0.979899497,0.326633166
0.015075377,0.442211055
0.010050251,0.532663317
0,0.904522613
0,0.532663317
0.105527638,0.59798995
0.050251256,0.587939698
0.020100503,0.708542714
0.005025126,0.301507538
0.015075377,0.788944724
0.010050251,0.331658291
0.924623116,0.633165829
0.005025126,0.567839196
1,0.492462312
0.859296482,0.24120603
0.015075377,0.552763819
0,0.557788945
0.964824121,0.804020101
0,0.236180905
0.879396985,0.371859296
0.095477387,0.075376884
1,0.422110553
0.713567839,0.396984925
0.010050251,0.608040201
0.020100503,0.472361809
0.909547739,0.713567839
0.834170854,0.673366834
0.899497487,0.532663317
0.984924623,0.72361809
0.010050251,0.296482412
0.844221106,0.361809045
0.015075377,0.271356784
0.055276382,0.658291457
0,0.206030151
0.005025126,0.854271357
0.904522613,0.301507538
0.010050251,0.623115578
0.050251256,0.552763819
1,0.522613065
0.020100503,0.386934673
0.884422111,0.336683417
0.989949749,0.185929648
1,0.603015075
0.005025126,0.748743719
0.005025126,0.336683417
0.030150754,0.497487437
0,0.582914573
0.864321608,0.331658291
0.618090452,0.472361809
0.638190955,0.582914573
0.040201005,0.537688442
0.984924623,0.35678392
0.005025126,0.195979899
0.959798995,0.507537688
0.045226131,0.095477387
0.005025126,0.110552764
1,0.361809045
0.005025126,0.728643216
0.738693467,0.231155779
0.045226131,0.346733668
0.944723618,0.713567839
0,0.743718593
0.010050251,0.708542714
0.994974874,0.301507538
1,0.417085427
0.914572864,0.703517588
0.954773869,0.462311558
0.015075377,0.296482412
0.015075377,0.577889447
0.994974874,0.552763819
0,0.748743719
0,0.417085427
0.050251256,0.567839196
0.020100503,0.608040201
0.005025126,0.703517588
0.015075377,0.59798995
0.874371859,0.175879397
1,0.462311558
0.984924623,0.64321608
0.010050251,0.638190955
0.974874372,0.67839196
0.959798995,0.698492462
0.899497487,0.206030151
0.834170854,0.683417085
0.989949749,0.638190955
0,0.51758794
0.909547739,0.638190955
0.015075377,0.24120603
1,0.125628141
0.874371859,0.829145729
0.015075377,0.371859296
0.964824121,0.291457286
0.748743719,0.497487437
0.748743719,0.552763819
0.35678392,0.628140704
1,0.964824121
0,0.35678392
0.959798995,0.386934673
1,0.713567839
0.964824121,0.778894472
0.005025126,0.618090452
0.346733668,0.824120603
0.060301508,0.798994975
0.944723618,0.301507538
0.613065327,0.140703518
0.974874372,0.005025126
0.035175879,0.547738693
0.979899497,0.296482412
0.005025126,0.266331658
0.045226131,0.246231156
0.010050251,0.331658291
0.974874372,0.165829146
0.91959799,0.331658291
0.929648241,0.572864322
1,0.231155779
0.005025126,0.557788945
0.939698492,0.115577889
0.904522613,0.72361809
0.984924623,0.708542714
0.005025126,0.628140704
0.005025126,0.351758794
0.005025126,0.140703518
0,0.572864322
0.010050251,0.346733668
0.939698492,0.381909548
0,0.070351759
0.015075377,0.211055276
0.025125628,0.261306533
0.040201005,0.572864322
0.969849246,0.814070352
0.005025126,0.376884422
0.055276382,0.51758794
0,0.180904523
0.015075377,0.326633166
0.060301508,0.703517588
0.969849246,0.251256281
0.065326633,0.291457286
0.040201005,0.467336683
0,0.391959799
0.929648241,0.809045226
0.020100503,0.859296482
0.030150754,0.43718593
0.984924623,0.67839196
0.015075377,0
0.849246231,0.371859296
0.944723618,0.648241206
0,0.43718593
0.989949749,0.628140704
0.894472362,0.251256281
0,0.603015075
0.899497487,0.391959799
0,0.507537688
0,0.713567839
0,0.432160804
0,0.613065327
0,0.457286432
0.934673367,0.708542714
0.879396985,0.236180905
0.035175879,0.698492462
0.793969849,0.768844221
0.698492462,0.527638191
0.924623116,0.748743719
0.909547739,0.24120603
0.005025126,0.552763819
0.849246231,0.648241206
0.914572864,0.271356784
0.020100503,0.226130653
0.834170854,0.40201005
0.974874372,0.100502513
0.994974874,0.844221106
0.040201005,0.462311558
0.020100503,0.336683417
0.989949749,0.140703518
0.015075377,0.582914573
0.964824121,0.768844221
0.010050251,0.467336683
0.844221106,0.623115578
0.010050251,0.381909548
0.050251256,0.155778894
0.979899497,0.497487437
0,0.527638191
0.065326633,0.396984925
0.005025126,0.150753769
0.005025126,0.311557789
0.010050251,0.331658291
0.989949749,0.005025126
0.010050251,0.522613065
0,0.633165829
0.035175879,0.366834171
0.984924623,0.67839196
0.010050251,0.427135678
0.030150754,0.281407035
0.879396985,0.24120603
0.954773869,0.532663317
0.025125628,0.442211055
1,0.407035176
0.020100503,0.633165829
0,0.763819095
0.020100503,0.658291457
0.010050251,0.190954774
0.974874372,0.206030151
0.934673367,0.361809045
0.005025126,0.859296482
0.005025126,0.728643216
0.728643216,0.547738693
0,0.351758794
0.010050251,0.331658291
0.994974874,0.185929648
0.005025126,0.48241206
0.050251256,0.407035176
0.050251256,0.522613065
0.005025126,0.718592965
0.055276382,0.462311558
0.964824121,0.623115578
0.994974874,0.291457286
0.010050251,0.582914573
0.994974874,0.432160804
0.005025126,0.386934673
0.939698492,0.336683417
0.954773869,0.180904523
0.884422111,0.43718593
0.814070352,0.261306533
0.010050251,0.296482412
0.974874372,0.43718593
0.939698492,0.331658291
1,0.346733668
0.914572864,0.236180905
0.507537688,0.512562814
0.010050251,0.688442211
0.974874372,0.467336683
0.025125628,0.618090452
0.909547739,0.442211055
0.005025126,0.261306533
0.010050251,0.140703518
0.015075377,0.537688442
0.015075377,0.341708543
0.040201005,0.175879397
0.658291457,0.24120603
0.773869347,0.814070352
0,0.120603015
0.025125628,0.326633166
0.954773869,0.668341709
0.005025126,0.407035176
