cycle,base,info,structural,incentives,combined,gain
0,0,0,0,0,0,0
1,2.115304853,2.571547076,2.695976773,3.940273745,4.417254251,-0.559933637
2,2.218996267,4.126918291,3.504769805,4.790543343,6.345914558,-1.638324347
3,2.405640813,4.666113646,3.836582331,4.396515968,8.108668602,0.020738283
4,2.364164247,4.832019909,4.18913314,4.645375363,9.373703857,0.435503939
5,2.550808793,5.848195769,4.251347988,5.246785566,10.36914144,0.124429703
6,2.613023642,6.034840315,4.396515968,5.703027789,11.92451265,1.016175862
7,2.986312733,6.781418499,4.583160514,5.516383243,13.08585649,2.1775197
8,3.380340108,7.362090419,4.562422231,5.474906678,14.47532144,3.836582328
9,3.380340108,7.465781833,4.91497304,5.785980921,14.70344255,3.297386972
10,3.421816674,7.548734965,5.267523849,6.014102032,15.42928246,3.442554962
11,3.131480713,8.108668602,5.620074658,6.345914558,16.2173372,2.405640808
12,3.131480713,8.855246786,5.557859809,6.594773953,16.4661966,1.721277478
13,3.649937785,8.938199917,5.578598092,6.325176275,17.62754044,4.085441726
14,3.587722937,8.875985068,5.868934052,6.345914558,18.39485691,4.479469106
15,3.546246371,9.041891331,5.910410618,6.677727084,19.51472418,4.977187889
16,3.712152634,10.12028204,5.931148901,6.117793447,19.6184156,4.87349648
17,3.712152634,10.74243053,5.993363749,6.885109913,19.34881792,3.152218996
18,3.836582331,10.26545002,6.42886769,7.175445873,20.38573206,4.189133139
19,3.732890917,10.90833679,6.553297387,7.424305268,20.9456657,3.525508089
20,3.712152634,10.5350477,6.366652841,7.196184156,21.58855247,4.914973041
21,4.04396516,10.78390709,6.636250518,7.341352136,21.92036499,5.246785566
22,4.126918291,11.46827043,6.926586479,7.382828702,22.16922439,4.645375361
23,4.168394857,11.77934467,6.822895064,7.673164662,23.35130651,5.412691828
24,4.396515968,11.80008295,7.175445873,7.362090419,23.18540025,5.640812944
25,4.147656574,11.84155952,7.362090419,7.818332642,23.28909166,4.562422227
26,4.603898797,11.94525093,7.44504355,7.756117793,24.24305268,6.304438001
27,4.686851929,12.42223144,7.113231024,7.673164662,23.89050187,6.055578602
28,4.666113646,12.29780174,7.548734965,7.776856076,24.72003318,6.428867691
29,4.749066777,12.60887599,7.693902945,8.025715471,25.4251348,6.594773948
30,4.728328494,13.27250104,7.610949813,8.170883451,26.66943177,7.071754454
31,4.91497304,12.67109083,7.735379511,8.66860224,26.77312319,7.527996689
32,5.018664455,13.3139776,7.44504355,8.316051431,26.95976773,7.922024059
33,4.749066777,13.89464952,7.569473248,8.730817088,27.49896309,6.802156788
34,5.205309,13.70800498,8.025715471,8.710078805,27.70634591,7.673164654
35,4.977187889,13.4384073,7.859809208,9.062629614,28.36997097,7.963500626
36,4.997926172,13.79095811,8.108668602,8.751555371,29.15802572,8.502695981
37,5.06014102,13.83243467,7.880547491,8.544172543,29.38614683,9.249274166
38,5.06014102,13.77021983,8.233098299,9.207797594,29.75943592,8.668602237
39,5.018664455,13.89464952,8.37826628,8.793031937,30.00829531,8.979676483
40,5.371215263,14.49605973,8.046453754,9.456656989,29.86312733,8.606387383
41,5.682289506,14.37163003,8.627125674,8.938199917,30.0290336,9.456656991
42,5.433430112,14.70344255,8.564910825,9.705516383,30.19493986,8.087930326
43,5.433430112,14.95230195,8.212360017,9.083367897,30.69265865,9.31148901
44,5.350476981,15.22189963,8.357527997,9.270012443,31.85400249,9.705516382
45,5.516383243,15.24263791,8.564910825,9.82994608,31.43923683,8.834508501
46,5.557859809,14.97304023,8.585649108,9.53961012,31.81252592,9.82994608
47,5.744504355,15.20116134,8.689340523,9.518871837,32.41393613,10.49357114
48,5.723766072,15.71961842,8.875985068,9.871422646,32.41393613,9.39444214
49,5.391953546,15.94773953,9.10410618,9.518871837,32.99460805,9.207797595
50,5.516383243,15.57445044,8.793031937,9.39444214,33.24346744,10.51430941
51,5.806719204,15.36706761,8.585649108,10.20323517,32.97386976,10.43135628
52,5.931148901,15.67814185,8.875985068,9.767731232,33.59601825,11.1364579
53,5.682289506,16.05143094,8.772293654,9.788469515,33.47158855,10.22397345
54,5.868934052,15.57445044,8.938199917,10.26545002,33.67897138,10.63873911
55,5.785980921,15.96847781,8.772293654,10.63873911,33.92783078,10.12028205
56,5.993363749,16.25881377,9.021153049,10.2861883,34.96474492,11.3853173
57,6.014102032,15.96847781,8.751555371,10.410618,34.8610535,11.75860638
58,5.910410618,16.11364579,8.855246786,10.07880547,35.64910825,12.42223144
59,5.889672335,15.96847781,9.166321029,10.49357113,35.69058482,11.84155952
60,5.993363749,16.09290751,9.10410618,10.63873911,35.73206139,11.88303609
61,6.097055164,16.2173372,9.062629614,10.86686022,35.73206139,11.77934468
62,6.117793447,16.54914973,9.000414766,10.63873911,36.5615927,12.60887599
63,6.325176275,16.63210286,9.24927416,10.63873911,36.72749896,12.85773538
64,6.221484861,16.52841145,9.166321029,10.63873911,37.22521775,13.33471588
65,6.304437993,16.98465367,9.24927416,10.88759851,36.74823725,12.2355869
66,6.470344255,16.73579428,9.000414766,10.82538366,36.41642472,12.79552052
67,6.262961427,17.10908337,9.311489009,10.43135628,36.81045209,12.48444629
68,6.42886769,17.3164662,9.311489009,10.70095396,36.95562007,12.48444628
69,6.387391124,17.10908337,9.352965574,11.11571962,37.03857321,12.23558689
70,6.055578598,17.27498963,9.622563252,11.15719618,37.72293654,11.77934467
71,6.180008295,17.3164662,9.581086686,11.19867275,37.47407715,11.7378681
72,6.42886769,17.10908337,9.166321029,11.09498134,37.84736624,13.33471588
73,6.159270012,17.73123185,9.083367897,11.42679386,37.90958109,11.98672751
74,6.491082538,17.39941933,9.124844463,11.59270012,38.09622563,12.96142679
75,6.553297387,17.37868105,9.498133555,11.07424305,38.59394442,13.74948154
76,6.449605973,17.37868105,9.145582746,11.36457901,38.1377022,13.14807134
77,6.57403567,17.08834509,9.290750726,11.44753214,38.75985068,14.08129406
78,6.553297387,17.68975529,9.228535877,11.40605558,39.23683119,14.01907922
79,6.615512236,17.83492327,9.021153049,11.59270012,39.54790543,14.33015346
80,6.57403567,17.58606387,9.498133555,11.75860639,39.65159685,13.95686438
81,6.28369971,17.39941933,9.477395272,11.09498134,40.14931564,14.74491912
82,6.28369971,17.87639983,9.311489009,11.59270012,40.04562422,13.83243468
83,6.739941933,17.93861468,9.560348403,11.67565326,39.73454998,14.0398175
84,6.86437163,18.08378266,9.53961012,11.32310245,40.08710079,14.86934882
85,6.698465367,17.75197014,9.6847781,12.06968063,40.25300705,14.14350891
86,6.57403567,18.08378266,9.498133555,11.48900871,40.37743675,14.45458317
87,6.636250518,18.39485691,9.6847781,11.44753214,40.58481958,14.33015347
88,6.968063044,18.12525923,9.518871837,11.59270012,41.1654915,15.8647864
89,6.905848196,18.0423061,9.664039818,11.88303608,41.18622978,15.40854417
90,6.511820821,18.5192866,9.498133555,11.24014932,41.35213604,15.11820821
91,6.822895064,18.49854832,9.622563252,12.40149316,41.31065948,14.43384488
92,6.86437163,18.56076317,10.01659063,12.00746578,41.68394857,14.82787225
93,6.594773953,18.22895064,9.767731232,11.94525093,41.68394857,14.93156367
94,6.822895064,18.68519287,9.705516383,12.19411033,41.66321029,14.72418084
95,6.905848196,18.18747408,9.53961012,12.25632518,41.39361261,15.22189962
96,6.760680216,18.6437163,9.6847781,12.85773538,41.33139776,13.66652841
97,6.656988801,18.45707175,9.726254666,12.21484861,41.99502281,14.91082539
