cycle,beginning,1yeardelay,2yeardelay
0,0,0,0
1,4.4794691,2.405640813,2.322687681
2,7.133969307,2.281211116,2.177519701
3,8.81377022,2.737453339,2.156781418
4,9.767731232,2.716715056,2.343425964
5,10.86686022,2.695976773,2.343425964
6,12.04894235,2.841144753,2.571547076
7,12.50518457,2.944836168,2.758191622
8,13.562837,2.944836168,2.67523849
9,14.26793861,3.193695562,3.027789299
10,15.45002074,3.131480713,2.944836168
11,16.11364579,3.172957279,2.986312733
12,16.48693488,3.131480713,3.110742431
13,17.64827872,3.504769805,3.857320614
14,18.83036085,3.338863542,3.172957279
15,19.43177105,3.504769805,3.629199502
16,20.51016176,3.401078391,3.649937785
17,20.73828287,3.670676068,3.587722937
18,21.02861883,3.795105765,3.712152634
19,21.75445873,3.878058897,3.484031522
20,21.65076732,3.961012028,3.919535462
21,23.14392368,4.064703443,3.940273745
22,24.03566985,3.89879718,3.629199502
23,23.86976358,4.230609706,4.023226877
24,24.78224803,4.230609706,3.981750311
25,24.80298631,4.500207383,3.940273745
26,25.25922854,4.313562837,4.272086271
27,25.5495645,4.272086271,4.4794691
28,26.04728328,4.458730817,4.168394857
29,26.60721692,4.91497304,4.355039403
30,27.22936541,4.583160514,4.375777686
31,27.43674824,4.728328494,4.603898797
32,27.91372874,4.645375363,4.790543343
33,28.3284944,4.76980506,4.811281626
34,28.10037329,4.997926172,4.645375363
35,28.5773538,4.832019909,4.749066777
36,28.82621319,4.91497304,4.520945666
37,29.38614683,5.122355869,4.603898797
38,29.36540854,5.309000415,4.583160514
39,29.84238905,5.163832435,4.873496474
40,30.3815844,5.267523849,4.894234757
41,30.65118208,5.371215263,4.852758192
42,31.43923683,5.309000415,5.143094152
43,31.72957279,5.246785566,5.184570718
44,32.12360017,5.412691829,5.267523849
45,31.72957279,5.039402737,5.495644961
46,32.14433845,5.309000415,5.433430112
47,32.51762754,5.640812941,5.288262132
48,33.13977603,5.474906678,5.309000415
49,33.49232684,5.723766072,5.433430112
50,33.49232684,5.620074658,5.350476981
51,33.63749482,5.454168395,5.474906678
52,33.61675653,5.785980921,5.661551224
53,34.44628785,5.868934052,5.288262132
54,34.46702613,6.076316881,5.557859809
55,34.92326835,5.661551224,5.889672335
56,34.96474492,5.848195769,5.620074658
57,34.92326835,5.412691829,6.117793447
58,34.96474492,6.076316881,5.640812941
59,35.35877229,5.889672335,5.661551224
60,35.52467856,5.806719204,5.785980921
61,35.98092078,5.868934052,5.827457487
62,36.54085442,6.034840315,5.744504355
63,36.54085442,6.014102032,6.159270012
64,36.83119038,5.910410618,6.014102032
65,36.66528411,6.117793447,5.931148901
66,36.99709664,6.014102032,6.034840315
67,36.83119038,5.889672335,6.097055164
68,36.81045209,5.931148901,5.993363749
69,37.43260058,6.076316881,6.304437993
70,38.03401078,6.200746578,6.159270012
71,37.97179594,6.304437993,6.076316881
72,37.86810452,6.325176275,6.13853173
73,37.86810452,6.387391124,6.28369971
74,38.22065533,6.304437993,6.180008295
75,38.11696392,6.221484861,6.097055164
76,38.53172957,6.470344255,5.972625467
77,39.11240149,6.325176275,6.262961427
78,38.75985068,6.387391124,6.345914558
79,39.23683119,6.117793447,6.449605973
80,39.48569058,6.42886769,6.117793447
81,39.65159685,6.449605973,6.615512236
82,39.29904604,6.57403567,6.159270012
83,38.90501866,6.491082538,6.221484861
84,39.3405226,6.408129407,6.345914558
85,39.589382,6.42886769,6.387391124
86,39.61012028,6.677727084,6.636250518
87,39.83824139,6.325176275,6.656988801
88,39.31978432,6.449605973,6.698465367
89,40.04562422,6.739941933,6.262961427
90,40.29448362,6.71920365,6.304437993
91,40.50186645,6.470344255,6.366652841
92,40.37743675,6.86437163,6.511820821
93,40.29448362,6.511820821,6.345914558
94,40.56408129,6.636250518,6.615512236
95,41.0410618,6.86437163,6.491082538
96,41.18622978,6.905848196,6.760680216
97,40.97884695,6.42886769,6.71920365
98,41.87059311,6.822895064,6.594773953
99,41.84985483,6.656988801,6.57403567
100,41.55951887,6.739941933,6.511820821
101,41.95354625,6.781418499,6.57403567
102,42.01576109,6.926586479,6.594773953
103,42.47200332,6.615512236,6.408129407
104,41.8913314,6.739941933,6.656988801
105,41.60099544,6.532559104,6.345914558
106,42.24388221,6.905848196,6.885109913
107,42.07797594,6.677727084,6.636250518
108,42.43052675,6.926586479,6.71920365
109,42.59643302,6.968063044,6.760680216
110,42.59643302,7.092492742,6.760680216
111,42.51347988,6.86437163,6.885109913
112,42.99046039,6.843633347,6.739941933
113,42.92824554,6.656988801,7.133969307
114,43.3430112,6.843633347,6.71920365
115,43.48817918,6.843633347,6.345914558
116,43.36374948,6.988801327,6.86437163
117,43.26005807,6.905848196,6.615512236
118,43.96515968,6.885109913,6.760680216
119,43.88220655,6.739941933,7.00953961
120,44.11032766,7.279137287,6.760680216
121,44.0688511,6.926586479,6.843633347
122,43.90294484,7.071754459,6.926586479
123,44.08958938,7.030277893,6.739941933
124,44.21401908,6.822895064,7.030277893
125,44.25549564,7.00953961,6.698465367
126,44.31771049,7.071754459,6.968063044
127,44.37992534,6.947324762,6.988801327
128,44.35918706,7.00953961,7.030277893
129,44.37992534,7.00953961,7.00953961
130,44.98133555,7.133969307,7.113231024
131,44.35918706,7.133969307,6.86437163
132,44.40066363,6.636250518,6.802156781
133,44.81542928,7.00953961,6.988801327
134,44.93985898,6.947324762,7.216922439
135,45.08502696,7.092492742,6.926586479
136,44.89838241,6.988801327,6.885109913
137,44.56656989,7.196184156,6.947324762
138,45.54126918,7.071754459,7.216922439
139,45.74865201,7.29987557,6.905848196
140,45.91455827,7.196184156,6.988801327
141,45.47905433,7.258399005,7.113231024
142,45.54126918,7.030277893,7.051016176
143,45.74865201,6.86437163,6.968063044
144,45.79012858,6.822895064,6.947324762
145,45.85234343,7.030277893,6.968063044
146,45.97677312,6.905848196,6.885109913
147,46.10120282,7.113231024,6.57403567
148,45.54126918,6.843633347,7.133969307
149,46.32932393,6.947324762,6.988801327
150,46.2463708,6.885109913,6.947324762
151,46.16341767,6.926586479,6.802156781
152,46.3708005,7.258399005,7.00953961
153,46.01824969,6.988801327,7.15470759
154,46.49523019,6.968063044,7.071754459
155,46.847781,7.258399005,6.905848196
156,46.72335131,7.133969307,7.00953961
157,47.24180838,6.988801327,7.030277893
158,47.17959353,7.341352136,7.279137287
159,47.20033181,7.030277893,6.905848196
160,47.17959353,7.071754459,6.843633347
161,46.93073414,6.968063044,7.051016176
162,47.0966404,6.988801327,7.030277893
163,46.93073414,7.15470759,7.030277893
164,47.61509747,7.15470759,6.843633347
165,47.0966404,7.133969307,7.030277893
166,47.67731232,6.926586479,6.905848196
167,47.46992949,7.175445873,6.926586479
168,47.6980506,6.988801327,7.00953961
169,48.00912484,7.15470759,6.822895064
170,47.61509747,6.988801327,6.947324762
171,47.63583575,7.133969307,7.00953961
172,47.55288262,7.071754459,7.00953961
173,47.51140606,7.071754459,7.030277893
174,47.73952717,7.258399005,6.926586479
175,48.19576939,7.362090419,7.092492742
176,47.86395686,7.133969307,6.905848196
177,47.59435919,7.15470759,7.071754459
178,47.67731232,7.15470759,6.86437163
179,47.84321858,7.237660722,7.071754459
180,48.27872252,7.237660722,6.885109913
181,48.44462878,7.237660722,7.133969307
182,48.00912484,7.341352136,7.030277893
183,48.46536707,7.237660722,7.00953961
184,48.21650767,7.092492742,7.092492742
185,48.44462878,6.988801327,6.926586479
186,48.52758192,7.196184156,7.051016176
187,48.40315222,7.113231024,7.133969307
188,48.83865616,7.175445873,6.905848196
189,48.71422646,6.843633347,7.29987557
190,48.79717959,6.947324762,7.092492742
191,48.50684363,7.175445873,7.113231024
192,48.50684363,6.968063044,7.051016176
193,48.4238905,7.092492742,7.113231024
194,48.63127333,7.362090419,6.988801327
195,48.40315222,7.216922439,6.968063044
196,48.83865616,7.051016176,6.947324762
197,48.50684363,7.279137287,6.988801327
198,49.10825384,7.15470759,7.15470759
199,49.10825384,7.279137287,7.133969307
200,48.77644131,7.030277893,6.988801327
201,48.94234757,7.29987557,7.133969307
202,48.81791788,7.258399005,7.092492742
203,49.23268353,7.092492742,7.113231024
204,49.12899212,7.237660722,7.133969307
205,49.19120697,7.092492742,6.968063044
206,49.41932808,7.196184156,7.113231024
207,49.50228121,7.133969307,6.885109913
208,49.54375778,7.216922439,6.926586479
209,49.21194525,7.15470759,7.071754459
210,49.19120697,7.113231024,6.926586479
211,49.29489838,7.29987557,6.947324762
212,49.93778515,7.15470759,6.822895064
213,49.66818747,7.133969307,7.051016176
214,49.50228121,7.196184156,6.71920365
215,49.66818747,7.258399005,7.092492742
216,49.50228121,7.00953961,7.133969307
217,49.85483202,7.29987557,7.175445873
218,50,7.196184156,7.216922439
219,49.62671091,7.424305268,7.320613853
220,49.75114061,7.216922439,6.988801327
221,49.54375778,7.175445873,7.071754459
222,49.64744919,7.196184156,7.113231024
223,49.8755703,7.175445873,7.175445873
224,50.14516798,7.051016176,6.843633347
225,49.77187889,7.113231024,7.092492742
226,49.62671091,7.196184156,7.113231024
227,49.95852343,7.196184156,7.196184156
228,50.16590626,6.968063044,7.071754459
229,50.35255081,7.196184156,7.341352136
230,49.91704687,6.885109913,6.968063044
231,50.14516798,7.051016176,6.905848196
232,50.31107424,7.175445873,6.822895064
233,50.47698051,7.196184156,7.092492742
234,49.77187889,7.15470759,6.86437163
235,50.1244297,7.113231024,6.968063044
236,50.20738283,6.698465367,7.113231024
237,50.26959768,7.113231024,6.947324762
238,50.20738283,7.279137287,6.988801327
239,50.95396101,7.092492742,7.216922439
240,50.16590626,7.382828702,7.051016176
241,50.47698051,7.216922439,7.196184156
242,50.70510162,7.29987557,7.237660722
243,50.35255081,7.29987557,7.00953961
244,50.26959768,7.00953961,7.258399005
245,50.64288677,7.362090419,7.113231024
246,50.91248445,7.320613853,7.216922439
247,50.53919535,7.237660722,7.133969307
248,50.6014102,7.362090419,7.216922439
249,50.74657818,7.403566985,7.051016176
250,50.91248445,7.071754459,7.258399005
251,50.99543758,7.113231024,7.051016176
252,50.74657818,7.403566985,7.258399005
253,50.93322273,7.092492742,7.237660722
254,50.64288677,6.843633347,7.196184156
255,50.91248445,7.113231024,7.113231024
256,50.91248445,7.175445873,6.947324762
257,51.65906263,7.382828702,7.175445873
258,50.89174616,7.29987557,7.051016176
259,51.38946495,7.092492742,7.196184156
260,51.3272501,7.279137287,7.216922439
261,51.51389465,7.051016176,6.988801327
262,51.01617586,6.968063044,6.988801327
263,51.63832435,6.802156781,7.092492742
264,50.89174616,7.216922439,7.00953961
265,51.26503526,7.237660722,7.15470759
266,51.49315637,7.175445873,7.092492742
267,51.7005392,7.133969307,6.968063044
268,51.51389465,6.968063044,7.258399005
269,51.34798839,7.15470759,6.885109913
270,51.49315637,7.051016176,6.781418499
271,51.24429697,7.071754459,6.926586479
272,51.63832435,7.279137287,7.00953961
273,51.74201576,7.051016176,7.175445873
274,51.61758606,7.237660722,7.092492742
275,51.63832435,7.362090419,7.175445873
276,51.94939859,7.237660722,7.092492742
277,51.65906263,7.341352136,7.320613853
278,52.11530485,7.133969307,6.947324762
279,52.01161344,7.237660722,7.216922439
280,52.07382829,6.905848196,6.947324762
281,52.26047283,7.258399005,7.092492742
282,52.1775197,6.968063044,7.133969307
283,52.11530485,7.133969307,7.030277893
284,52.32268768,7.030277893,6.781418499
285,51.88718374,7.237660722,6.968063044
286,52.23973455,7.196184156,7.196184156
287,52.07382829,7.15470759,7.051016176
288,52.23973455,6.802156781,6.822895064
289,52.44711738,7.175445873,6.968063044
290,52.38490253,7.486520116,7.092492742
291,52.28121112,7.258399005,7.133969307
292,52.3019494,7.133969307,7.071754459
293,52.38490253,7.071754459,7.113231024
294,52.48859394,6.947324762,6.86437163
295,52.26047283,6.988801327,6.947324762
296,51.97013687,7.00953961,6.822895064
297,52.11530485,7.113231024,7.071754459
298,52.75819162,6.968063044,6.905848196
299,52.9033596,7.362090419,7.113231024
300,52.50933223,7.320613853,7.00953961
301,52.44711738,7.196184156,7.092492742
302,52.32268768,7.216922439,7.00953961
303,52.67523849,7.092492742,7.133969307
304,52.46785566,7.216922439,7.030277893
305,52.53007051,7.15470759,7.133969307
306,52.7789299,7.237660722,7.15470759
307,52.67523849,7.030277893,7.030277893
308,52.82040647,7.092492742,7.133969307
309,52.4263791,7.00953961,7.113231024
310,53.25591041,7.15470759,7.341352136
311,52.61302364,7.030277893,6.988801327
312,52.86188304,7.071754459,7.071754459
313,53.152219,7.030277893,7.00953961
314,52.69597677,7.071754459,6.988801327
315,53.23517213,7.00953961,6.926586479
316,52.94483617,7.092492742,6.905848196
317,52.55080879,7.175445873,7.196184156
318,53.35960182,7.196184156,7.175445873
319,53.46329324,7.196184156,7.320613853
320,53.42181667,7.320613853,7.133969307
