cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.02616911,62.20852466,44.60944603,80.36490246,63.66187571,0,0,0
1,44.02616911,62.17628511,7.234108921,80.07779942,45.05882773,30.94603288,0,2.6337619
2,44.12603466,62.18935823,6.577191662,79.79912187,37.73284829,29.40092828,0.077967156,2.5300705
3,44.20373634,62.19958145,6.625132166,79.52126018,34.57917345,28.87534334,0.146910208,2.3641642
4,44.26015184,62.20729465,6.614865648,79.24462111,33.24893281,28.62122095,0.210419553,2.5922854
5,44.32243377,62.21642265,6.702644048,78.96977603,32.67780158,28.52314807,0.279804583,2.6130236
6,44.37585306,62.22441409,6.76380378,78.69597778,32.35984734,28.45814292,0.347432462,2.4678557
7,44.42376622,62.2316465,6.733436177,78.42377847,32.2847191,28.40792426,0.407844978,2.7789299
8,44.4749605,62.23783017,6.823491336,78.15350187,32.2497819,28.40124152,0.474806094,2.7996682
9,44.52720658,62.24496869,6.904292018,77.88479308,32.25281543,28.38295985,0.540987034,3.1107424
10,44.58914395,62.25314957,7.04789923,77.61882314,32.39220807,28.4329778,0.611034466,3.4840315
11,44.65592825,62.261998,7.199421781,77.35462811,32.41497951,28.45666412,0.689519264,3.5255081
12,44.7170453,62.27120266,7.268049377,77.09180599,32.40946972,28.45776184,0.771950933,3.3596018
13,44.76933014,62.2780023,7.166992009,76.83023714,32.42726714,28.39716158,0.840748303,3.6499378
14,44.83056881,62.28633472,7.284922803,76.57016268,32.37829525,28.38114376,0.917355289,3.5669847
15,44.88579368,62.29403768,7.302497795,76.31149162,32.38477164,28.35617311,0.988300328,3.6291995
16,44.93266975,62.30096003,7.356992463,76.05396182,32.33295337,28.34251017,1.0571763,3.6084612
17,44.98117099,62.30693131,7.367274284,75.79763251,32.28742493,28.30541068,1.125359485,3.6084612
18,45.02511107,62.3136232,7.376738891,75.54256817,32.2543428,28.24827856,1.188246766,3.6291995
19,45.067959,62.31943164,7.38935565,75.28866784,32.20487793,28.20476989,1.251219605,3.8987972
20,45.11688711,62.32676916,7.410280676,75.03757499,32.35603118,28.21820235,1.319144428,4.2306097
21,45.17162447,62.33419809,7.560818453,74.7878135,32.33432665,28.22336943,1.393664524,4.2098714
22,45.21892947,62.34079557,7.636177493,74.53977675,32.39726666,28.21291514,1.463476322,4.3135628
23,45.27165415,62.34806925,7.690571826,74.29275737,32.34934535,28.2146626,1.536616914,4.1476566
24,45.3114621,62.35467487,7.68650643,74.04680419,32.33161788,28.16358779,1.599533592,4.4587308
25,45.35932117,62.36098237,7.774443309,73.80307007,32.39418776,28.17543865,1.67120527,4.7075902
26,45.41242585,62.36954939,7.908812654,73.56132136,32.47042661,28.21722611,1.745404814,4.7283285
27,45.46746876,62.3763165,7.989801245,73.32036387,32.41738217,28.17686524,1.81713886,4.6868519
28,45.51273576,62.38079767,7.976447503,73.08088121,32.43948967,28.15527591,1.888534481,5.0186645
29,45.56636208,62.3888251,8.125810556,72.84315428,32.44277981,28.16139866,1.965925027,4.7905433
30,45.6116314,62.39472591,8.106371073,72.60622988,32.42975734,28.12510819,2.033300875,5.1016176
31,45.65993328,62.40177711,8.185301228,72.3711649,32.44378369,28.12080723,2.108629244,4.8942348
