cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,43.90312384,62.44265892,44.63652161,80.62987925,63.768404,0,0,0
1,43.90312384,62.45295554,7.19942756,80.34352344,45.37289486,31.30336118,0,3.940273745
2,44.05180157,62.47349025,6.844524926,80.07016113,38.60918812,29.99383746,0.115298538,4.790543343
3,44.20091092,62.49450529,7.130497704,79.80025151,35.91621406,29.64831886,0.252625695,4.396515968
4,44.31777751,62.51130538,7.164359568,79.53037015,34.66505749,29.45014449,0.374303215,4.645375363
5,44.42332715,62.5256634,7.31029943,79.26309086,34.26613143,29.4265668,0.495316181,5.246785566
6,44.54337224,62.5428116,7.475732077,78.99956297,34.32689087,29.48922682,0.631797021,5.703027789
7,44.67348486,62.56173388,7.672471657,78.73792896,34.32071951,29.54711161,0.779749446,5.516383243
8,44.77091257,62.57519822,7.70208679,78.47699847,34.25192997,29.52843532,0.915498712,5.474906678
9,44.87185653,62.59012998,7.748053521,78.21702069,34.16297023,29.5134699,1.039331452,5.785980921
10,44.97675696,62.60515973,7.890926405,77.96006231,34.31564032,29.57826504,1.171944913,6.014102032
11,45.06959328,62.61714388,7.933992803,77.70461691,34.34677228,29.59175463,1.303890732,6.345914558
12,45.16959069,62.63310956,8.060556667,77.45190096,34.5011252,29.64170349,1.444422967,6.594773953
13,45.27631934,62.64746702,8.22246042,77.20070484,34.53281353,29.65875235,1.584239061,6.325176275
14,45.3528892,62.65707923,8.19054395,76.95021511,34.51456838,29.60241132,1.711488813,6.345914558
15,45.43007317,62.66769072,8.248267326,76.70057573,34.42120093,29.5971383,1.836260131,6.677727084
16,45.52268963,62.67933318,8.384424031,76.4527735,34.37681546,29.62200795,1.963311222,6.117793447
17,45.57363578,62.68648056,8.249579477,76.20546304,34.3700208,29.52715025,2.067914872,6.885109913
18,45.66297921,62.69928671,8.510188852,75.96212308,34.6080146,29.64516782,2.190388506,7.175445873
19,45.75796264,62.71324861,8.717530155,75.72049268,34.70572018,29.71957196,2.322519472,7.424305268
20,45.84685268,62.72569284,8.797058383,75.48037381,34.72033168,29.7273066,2.453093112,7.196184156
21,45.91216117,62.7362417,8.75910655,75.2408426,34.67506141,29.67049887,2.567610615,7.341352136
22,45.98090247,62.74485289,8.846363693,75.00326541,34.73187778,29.67623617,2.688682323,7.382828702
23,46.04876294,62.75509799,8.844047556,74.76660684,34.69019929,29.63384253,2.801837748,7.673164662
24,46.13836711,62.76852337,8.959340497,74.53207624,34.7403632,29.67591031,2.925064424,7.362090419
25,46.19584531,62.77692076,8.951342698,74.29769116,34.66412692,29.63615912,3.03209812,7.818332642
26,46.26847792,62.78794453,9.047530778,74.06580554,34.71910972,29.65644209,3.147117726,7.756117793
27,46.32866734,62.79618277,9.103302606,73.83445792,34.64291733,29.6050955,3.255989552,7.673164662
28,46.3846017,62.80454255,9.126835348,73.6041951,34.60748789,29.59186341,3.362226924,7.776856076
29,46.43882148,62.81252513,9.205335423,73.37568092,34.65453044,29.59564653,3.459364569,8.025715471
30,46.50123919,62.82181254,9.253543633,73.14880904,34.68276055,29.57204736,3.565023518,8.170883451
31,46.56613932,62.82953356,9.408736385,72.92473977,34.92579297,29.66115382,3.674660586,8.66860224
32,46.6446753,62.84113011,9.533578968,72.70210621,34.94088449,29.69037173,3.796015572,8.316051431
33,46.70270643,62.85027375,9.533645134,72.48027315,34.97520951,29.67355003,3.90004562,8.730817088
34,46.77319437,62.85972945,9.621033587,72.25985606,34.9207974,29.68372888,4.013164732,8.710078805
35,46.82739515,62.86764756,9.750106332,72.04109231,34.98493734,29.6790877,4.125239197,9.062629614
36,46.89527036,62.87753811,9.84821189,71.82401784,35.00625094,29.7129965,4.237401224,8.751555371
37,46.93618719,62.88300298,9.824094045,71.60619347,34.78057132,29.6543564,4.335298777,8.544172543
38,46.97437391,62.88907638,9.786587942,71.39040117,34.88704318,29.62624829,4.426058336,9.207797594
39,47.03731381,62.89778291,9.971504359,71.17681025,34.93301324,29.63245223,4.53883591,8.793031937
40,47.07657756,62.90347478,9.932626984,70.96328345,34.88530479,29.59837957,4.632025233,9.456656989
41,47.13877158,62.91430643,10.10316488,70.7523042,34.92397826,29.62029583,4.741674534,8.938199917
42,47.1816587,62.91909091,10.05163691,70.54216587,35.0353181,29.61499366,4.826023954,9.705516383
43,47.24006571,62.92811502,10.26122426,70.33366772,34.9688899,29.62007755,4.933738454,9.083367897
44,47.27605771,62.93218994,10.0728349,70.1251016,34.91017891,29.53791758,5.021553628,9.270012443
45,47.31161261,62.93743948,10.16550305,69.91837843,34.95816899,29.54194406,5.110601242,9.82994608
46,47.3664288,62.94422162,10.36076759,69.71374879,34.99551803,29.58302522,5.21064569,9.53961012
47,47.4051993,62.94944271,10.39776807,69.50982223,35.0269288,29.59048227,5.295656128,9.518871837
48,47.45166981,62.95665768,10.36523511,69.30614626,34.90836496,29.52736941,5.375635858,9.871422646
49,47.50439138,62.96381771,10.46121844,69.10462727,34.94331047,29.53533334,5.467144027,9.518871837
50,47.53808981,62.96834478,10.41625935,68.90302678,34.86298133,29.50364607,5.545280915,9.39444214
51,47.56451418,62.97217852,10.41294597,68.70225074,34.82155755,29.4658273,5.614924079,10.20323517
52,47.62196389,62.98070367,10.58990056,68.50468913,34.9464595,29.51692309,5.70506477,9.767731232
53,47.66435902,62.98599425,10.54046356,68.30691805,34.90894912,29.49856558,5.7849188,9.788469515
54,47.70565506,62.99244095,10.5004561,68.11048616,34.93634486,29.46735543,5.858903596,10.26545002
55,47.74437364,62.99717479,10.72597125,67.91657908,35.07024824,29.52952616,5.939890401,10.63873911
56,47.79287324,63.00358163,10.84826031,67.72417702,35.10878583,29.54650605,6.035348345,10.2861883
57,47.82881159,63.00769702,10.8592221,67.5315801,35.01678124,29.49675557,6.113535805,10.410618
58,47.86889736,63.01347405,10.89773788,67.34022449,34.98002058,29.48173685,6.195154392,10.07880547
59,47.89103746,63.01714244,10.78131074,67.14898485,34.90450178,29.42115304,6.261549812,10.49357113
60,47.93699982,63.02370728,10.93285194,66.95991549,34.95562288,29.49100986,6.336207668,10.63873911
61,47.97843536,63.02944857,11.04101604,66.77218288,34.99454265,29.47377778,6.412106183,10.86686022
62,48.0183641,63.03413426,11.13310598,66.58601444,35.04693839,29.45690122,6.494104587,10.63873911
63,48.04485362,63.03817388,11.09284832,66.39989883,34.97799964,29.41865633,6.566494748,10.63873911
64,48.07824437,63.04336556,11.11745215,66.21473767,34.94385539,29.39239541,6.637544716,10.63873911
65,48.10988118,63.04778202,11.13563553,66.03070485,34.95337485,29.40417009,6.699349683,10.88759851
66,48.14728191,63.05178723,11.25876863,65.84789246,34.93065083,29.38773028,6.769650523,10.82538366
67,48.17922678,63.05627739,11.20507601,65.66573563,34.88530175,29.32551794,6.840878994,10.43135628
68,48.18899043,63.05709308,11.14232204,65.48339906,34.78082753,29.28068981,6.900663571,10.70095396
69,48.22126852,63.06212071,11.17245618,65.3032158,34.86411732,29.25353565,6.965240717,11.11571962
70,48.25421266,63.06773997,11.29766147,65.12499247,34.95997191,29.32421073,7.035391928,11.15719618
71,48.28112791,63.07118661,11.3579047,64.94744384,34.94325331,29.31571217,7.103881107,11.19867275
72,48.31472911,63.07611845,11.39888796,64.77116233,34.98068095,29.32419277,7.168525517,11.09498134
73,48.34203271,63.07993691,11.34955942,64.59548859,34.97225578,29.24798745,7.230035198,11.42679386
74,48.37208892,63.08443789,11.47756151,64.4217344,35.04410747,29.3003342,7.30032204,11.59270012
75,48.40385236,63.08834009,11.59006136,64.24857038,34.97767788,29.27852853,7.370764471,11.07424305
76,48.41007771,63.08978185,11.51388877,64.07500124,34.8676618,29.19768077,7.425680363,11.36457901
77,48.42813536,63.09328563,11.66384333,63.90322944,34.88907254,29.23540359,7.486643784,11.44753214
78,48.45830781,63.09782765,11.69376131,63.73266397,34.92791746,29.24952878,7.546911148,11.40605558
79,48.47541958,63.09948359,11.74143044,63.56273046,34.91206523,29.24228111,7.604802229,11.59270012
80,48.5001891,63.10310603,11.78762512,63.3948015,35.03732659,29.26781246,7.669623531,11.75860639
81,48.522132,63.1059032,11.83866114,63.22683452,34.89326562,29.22464801,7.731628907,11.09498134
82,48.53360522,63.10666047,11.70065927,63.05850355,34.80006822,29.13836979,7.771023674,11.59270012
83,48.55402301,63.10882478,11.77240518,62.89215559,34.81004657,29.12118698,7.823144394,11.67565326
84,48.57697692,63.11322961,11.83826862,62.72673107,34.79858385,29.14515915,7.874108541,11.32310245
85,48.58779717,63.11389534,11.7470973,62.56167221,34.80631197,29.09625592,7.915039991,12.06968063
86,48.61895054,63.11730124,11.92241611,62.39880355,34.82998305,29.12617499,7.975476353,11.48900871
87,48.6229174,63.11836153,11.77020015,62.23487131,34.67380687,29.02716506,8.016309443,11.44753214
88,48.62408544,63.11801488,11.77788715,62.07198004,34.64519436,28.96606735,8.05786175,11.59270012
89,48.64036426,63.11988965,11.81358059,61.9109639,34.764235,28.99656789,8.103890709,11.88303608
90,48.66694605,63.1239238,11.86325281,61.74992566,34.59607093,28.97669884,8.156445295,11.24014932
91,48.66097927,63.12361063,11.67369606,61.58951822,34.65663972,28.89390983,8.182649518,12.40149316
92,48.70602315,63.1292923,11.95857585,61.4330916,34.89799969,29.02044226,8.245133876,12.00746578
93,48.72181624,63.13204112,11.96234035,61.27577354,34.82222112,28.99049165,8.295536156,11.94525093
94,48.72593399,63.1325725,12.03599304,61.11899801,34.75885792,28.97664123,8.339736144,12.19411033
95,48.75393623,63.13541614,12.09447563,60.96374197,34.78119205,28.97246328,8.390419653,12.25632518
96,48.78079335,63.13861381,12.12454848,60.80999763,34.88870987,28.97362746,8.442198752,12.85773538
97,48.81482201,63.14241764,12.34974545,60.65804828,34.93921667,29.06415332,8.513568016,12.21484861
98,48.81806858,63.14302464,12.26405501,60.50504566,34.82299683,28.98085909,8.557616642,12.33927831
99,48.83420433,63.14533805,12.26386746,60.35291458,34.749104,28.92475409,8.604314296,12.04894235
100,48.83682558,63.14623876,12.22496768,60.20112603,34.71620186,28.87850179,8.640494305,12.31854002
101,48.85510522,63.14893917,12.30193835,60.0499951,34.60815065,28.87827189,8.682731881,12.04894235
102,48.86462561,63.1509472,12.19349329,59.90018393,34.71916963,28.8126659,8.721047039,12.8369971
103,48.89672316,63.1556958,12.40423617,59.7521537,34.7255824,28.87176122,8.778303313,12.21484861
104,48.90580279,63.15668845,12.27806494,59.60311737,34.59818207,28.80727443,8.817936472,12.13189548
105,48.91994387,63.1586195,12.23215433,59.45496144,34.5811776,28.7683825,8.851739157,12.52592285
106,48.93969988,63.16111724,12.29158892,59.30830924,34.59116053,28.7706848,8.892035639,12.21484861
107,48.95185952,63.1626753,12.29797578,59.16232806,34.66190236,28.76177367,8.921863603,12.98216508
108,48.97909156,63.16608811,12.52580546,59.01873526,34.75698035,28.82986664,8.974722944,12.81625881
109,49.00172651,63.16887369,12.51444943,58.87466599,34.63673619,28.79165622,9.019455053,12.13189548
110,49.00054383,63.16812999,12.28247928,58.73075411,34.66410785,28.72397535,9.040315222,12.89921195
111,49.01998323,63.17105459,12.35124624,58.58826367,34.58270367,28.73180083,9.084625729,12.50518457
112,49.02761779,63.17291072,12.37062843,58.44566336,34.5089189,28.68467638,9.121017427,12.29780174
113,49.0266455,63.17294486,12.29959455,58.30336853,34.45753521,28.61012006,9.146898218,12.56739942
114,49.04232542,63.17367787,12.41081396,58.16257928,34.49034603,28.66103332,9.180943357,12.73330568
115,49.04907268,63.17463433,12.58471375,58.02280531,34.50634225,28.67493557,9.21912115,12.52592285
116,49.05478186,63.17527549,12.51937958,57.88261441,34.37832363,28.64319211,9.248309525,12.38075487
117,49.05488002,63.17541738,12.50194966,57.74265537,34.2753347,28.5684735,9.274167068,12.31854002
118,49.06458408,63.17655405,12.41628394,57.60309108,34.19044655,28.49928612,9.293721413,12.27706346
119,49.07468942,63.17820088,12.39156859,57.46475559,34.24634151,28.49732497,9.312798164,12.73330568
120,49.08515246,63.17994425,12.53371064,57.32826678,34.33715756,28.51927711,9.342599512,12.60887599
121,49.09737819,63.18158116,12.52963377,57.19247926,34.4064483,28.54541613,9.365812039,13.04437993
122,49.12663812,63.18515727,12.65494194,57.05797725,34.41613967,28.58407705,9.398873495,12.44296972
123,49.12122368,63.18443895,12.53071431,56.92238725,34.28394695,28.44466978,9.421891856,12.69182912
124,49.13240245,63.18478896,12.59123502,56.78841165,34.30947009,28.46412974,9.450400883,12.87847366
125,49.15441199,63.18817825,12.6098494,56.6558332,34.38721742,28.49129798,9.482261169,12.96142679
126,49.17367975,63.19106526,12.65001957,56.52383652,34.37878703,28.51228887,9.510684789,13.06511821
127,49.18968954,63.19420152,12.69026925,56.39299712,34.42349303,28.50690093,9.543519537,12.98216508
128,49.20331368,63.19609884,12.76400548,56.26281205,34.4586888,28.50528107,9.571747025,13.35545417
129,49.23409052,63.19918275,12.86898688,56.1337823,34.45207014,28.51743128,9.609907694,13.16880962
130,49.2404323,63.20019197,12.78361903,56.00500884,34.43038787,28.46606408,9.645586075,13.4384073
131,49.25635744,63.20325049,12.94933449,55.87824324,34.57098819,28.51907104,9.690269466,13.4384073
132,49.27813373,63.20590812,12.95482291,55.75078049,34.40433093,28.48425954,9.735529196,12.65035255
133,49.26749079,63.20529907,12.74406251,55.62225027,34.25152889,28.37205584,9.747839769,13.08585649
134,49.27564087,63.20711812,12.8104377,55.49523125,34.21023026,28.36338425,9.777914613,12.73330568
135,49.27192327,63.2060031,12.68703048,55.36800223,34.14130377,28.29421272,9.797311893,13.02364164
136,49.28709684,63.20837971,12.78106949,55.24214712,34.14993065,28.30236811,9.825371663,12.85773538
137,49.28862957,63.20803104,12.71541773,55.11734735,34.26415496,28.27119195,9.849520412,13.62505185
138,49.31361575,63.21166022,12.94502379,54.99400677,34.24384288,28.32037354,9.892791645,13.06511821
139,49.31827967,63.2121018,12.79513318,54.86965591,34.10725331,28.23418301,9.920522188,12.98216508
140,49.3173177,63.2122068,12.77511423,54.74548933,33.99149607,28.19095872,9.940303831,12.73330568
141,49.31566434,63.2121357,12.73730558,54.62235557,34.07176313,28.14178289,9.953528393,13.16880962
142,49.32159337,63.21244589,12.81972698,54.49989398,33.99420151,28.17257478,9.977153652,12.50518457
143,49.32035054,63.21087087,12.69732964,54.37591156,33.77584369,28.09247372,9.980333197,12.91995023
144,49.33662725,63.21229079,12.79420841,54.25508316,33.98703391,28.14279634,9.99681309,13.562837
145,49.35698123,63.21413421,13.0403494,54.13613463,34.11891315,28.21485074,10.02997884,13.18954791
146,49.35947896,63.21551224,12.91409451,54.01574932,33.93305578,28.13947214,10.04916506,13.12733306
147,49.35889769,63.21520083,12.89684766,53.89666746,33.9780221,28.10961264,10.07057054,13.18954791
148,49.36241427,63.21631607,12.95739267,53.77788009,33.92622407,28.10085527,10.08964651,13.08585649
149,49.36946105,63.21725389,12.93260288,53.65981913,33.94696356,28.06662992,10.10807202,13.3139776
150,49.38047917,63.21837817,13.03404411,53.54334791,34.05787519,28.11279191,10.13280844,13.58357528
151,49.39590393,63.21972203,13.08956539,53.42751472,34.03639134,28.11421249,10.16536066,13.08585649
152,49.39788197,63.22006516,13.0197918,53.31130926,33.99651766,28.06010806,10.1810312,13.4384073
153,49.40036017,63.22121707,13.16634618,53.19622326,33.96994074,28.07903397,10.20615445,13.45914558
154,49.41955813,63.22370144,13.11335576,53.08171468,33.94969097,28.0471214,10.22813856,13.52136043
155,49.43068918,63.22603186,13.09004719,52.96807231,33.96722667,28.06796141,10.2511121,13.4384073
156,49.4353862,63.22658008,13.0911298,52.85408192,33.84046132,28.0103149,10.27129063,12.87847366
157,49.42859516,63.22554168,12.90244168,52.7396126,33.75408922,27.9137033,10.27535879,13.52136043
158,49.46005877,63.23141031,13.02920184,52.62733768,33.81052038,28.0000104,10.29470784,13.47988387
