cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.63337372,62.30085878,44.49440612,80.67424471,63.49210964,0,0,0
1,44.63337372,62.3577275,7.265864629,80.38592604,45.05483831,31.23920948,0,2.571547076
2,45.56420322,71.30447634,6.732948845,80.10753848,38.11639984,32.19015625,0.077425255,4.126918291
3,46.38466859,72.83357361,7.291515008,79.83517468,35.57262889,32.50619642,0.197650614,4.666113646
4,47.13236281,73.95514947,7.650736553,79.56577641,34.62222333,32.9057106,0.324117768,4.832019909
5,47.79337619,74.67510745,7.944985525,79.29950179,34.46060327,33.32535363,0.452674997,5.848195769
6,48.4443323,75.26412371,8.372836683,79.03656752,34.44667561,33.71105964,0.604096175,6.034840315
7,49.0399926,75.55181314,8.626855947,78.77711863,34.73844021,34.04672163,0.755525596,6.781418499
8,49.62519829,75.89464122,8.943924216,78.52087392,34.96995224,34.4035351,0.924047942,7.362090419
9,50.17942616,76.04365002,9.300879161,78.26786694,35.22836094,34.71943609,1.103038109,7.465781833
10,50.6480325,76.08084835,9.50526606,78.01619038,35.3132613,34.90965975,1.28057976,7.548734965
11,51.12921938,76.30855735,9.656038135,77.7666456,35.46002842,35.14920046,1.45084723,8.108668602
12,51.60567777,76.41585588,9.969457515,77.52015581,35.66508591,35.36957325,1.633560607,8.855246786
13,52.05079018,76.50167223,10.32141801,77.27736786,35.95427794,35.64985381,1.828206009,8.938199917
14,52.47103455,76.49068665,10.53576745,77.03554862,36.00499426,35.79405969,2.021947851,8.875985068
15,52.85212957,76.50766383,10.58030602,76.7950473,36.04903858,35.8759531,2.208523055,9.041891331
16,53.21027071,76.52163733,10.74308261,76.55694244,36.20985617,36.03095774,2.393173426,10.12028204
17,53.5788324,76.56501213,11.12990102,76.32371819,36.59538134,36.27741687,2.601429272,10.74243053
18,53.96490935,76.5868317,11.50032549,76.0928756,36.78863917,36.49230429,2.820803089,10.26545002
19,54.29303822,76.65149164,11.51804222,75.86264813,36.89809123,36.61550127,3.024290959,10.90833679
20,54.62830521,76.57068243,11.72718597,75.63440601,36.90442019,36.6866153,3.227785622,10.5350477
21,54.92222701,76.53654795,11.78662315,75.40694494,36.93673958,36.72991478,3.417423706,10.78390709
22,55.20520291,76.48688423,11.91765854,75.18181965,37.07201857,36.82971986,3.603308426,11.46827043
23,55.4799829,76.47994617,12.22460424,74.96004959,37.30977019,36.98078324,3.806246741,11.77934467
24,55.75604025,76.52338536,12.42912733,74.73983432,37.39565763,37.08765774,4.007416786,11.80008295
25,56.01259943,76.46637025,12.56280128,74.52101432,37.46600969,37.17253287,4.20209867,11.84155952
26,56.23891847,76.47221493,12.68723084,74.30348711,37.50614566,37.22357543,4.388198785,11.94525093
27,56.46687921,76.47390421,12.78768661,74.08737524,37.54185761,37.25845226,4.575630261,12.42223144
28,56.68849618,76.5225072,13.04198564,73.87345884,37.60396935,37.35942182,4.765326693,12.29780174
29,56.90262285,76.49802091,13.0884778,73.66037704,37.6148726,37.36991023,4.947141844,12.60887599
30,57.11187676,76.55952045,13.25716788,73.45016985,37.82726258,37.48029788,5.130124347,13.27250104
31,57.33371776,76.67645234,13.55862893,73.24214436,37.92123715,37.60890475,5.326465021,12.67109083
32,57.52007302,76.23591539,13.50720929,73.03375187,37.87859282,37.49809683,5.500296422,13.3139776
33,57.71483739,76.15152794,13.69601644,72.8288326,38.08411231,37.60781386,5.683157054,13.89464952
34,57.90115504,75.93482335,14.01226177,72.62593344,38.17637182,37.64673198,5.875301142,13.70800498
35,58.08560769,75.87707467,14.03161453,72.42360716,38.18032595,37.65024731,6.053664685,13.4384073
36,58.24114249,75.75582899,14.06097087,72.22177839,38.1604412,37.62914633,6.218499967,13.79095811
37,58.41318556,75.74251604,14.21431043,72.02160728,38.15735697,37.68806705,6.388825969,13.83243467
38,58.55960005,75.72686518,14.27554989,71.82266954,38.1725032,37.68749987,6.554778658,13.77021983
39,58.69717122,75.71399029,14.3696129,71.62471789,38.18772707,37.70337982,6.71119826,13.89464952
40,58.81579977,75.63002303,14.48915322,71.4286654,38.30214096,37.68879267,6.868997242,14.49605973
41,58.96917772,75.61663155,14.67778165,71.23454351,38.34099114,37.76751568,7.03324353,14.37163003
42,59.09389655,75.59293964,14.65248086,71.04133302,38.37133141,37.7862865,7.187409679,14.70344255
43,59.22358476,75.61700779,14.86520477,70.85080414,38.57488906,37.88122992,7.348052906,14.95230195
44,59.34313364,75.62583205,15.00341263,70.66208499,38.73088982,37.93609939,7.512569148,15.22189963
45,59.49403174,75.67096213,15.27744757,70.47445414,38.74097624,38.0131945,7.678835768,15.24263791
46,59.61061056,75.67480281,15.34283725,70.28754517,38.6954506,38.02075869,7.834425004,14.97304023
47,59.71276499,75.62127039,15.27401063,70.10093138,38.63280791,37.98142888,7.976606623,15.20116134
48,59.84118712,75.7126507,15.44780681,69.91671721,38.78156106,38.04511367,8.122133926,15.71961842
49,59.96529547,75.79355345,15.65000409,69.73495378,38.95186533,38.15262158,8.280975721,15.94773953
50,60.07466346,75.6568331,15.76639625,69.55448249,39.01984406,38.1562002,8.436722823,15.57445044
51,60.18984741,75.77103137,15.69629524,69.37305418,38.83249122,38.11709812,8.575097331,15.36706761
52,60.27558649,75.79039734,15.62976166,69.19258385,38.80505145,38.08080809,8.703260979,15.67814185
53,60.39411826,75.83405284,15.76583086,69.0141497,38.88949988,38.13524194,8.834549845,16.05143094
54,60.51183194,75.82559678,15.91667327,68.8368623,38.8609837,38.17086251,8.971732188,15.57445044
55,60.59075537,75.85512184,15.86499187,68.65954564,38.81447739,38.1646266,9.087286014,15.96847781
56,60.68212012,75.83913245,15.9488728,68.48451809,38.91549435,38.16667077,9.214026342,16.25881377
57,60.77912823,75.85917088,16.09247777,68.31047287,38.89066117,38.18659632,9.343739249,15.96847781
58,60.88168061,75.91884888,16.06046556,68.13654348,38.8229859,38.19148148,9.461215244,16.11364579
59,60.95546448,75.86192741,16.16158242,67.96369506,38.78217627,38.16924118,9.57926272,15.96847781
60,61.03609492,75.8464028,16.10572356,67.7911912,38.71013582,38.10981611,9.68684449,16.09290751
61,61.12080997,75.88546001,16.19326822,67.62039445,38.77882017,38.15292514,9.798692603,16.2173372
62,61.19490364,75.94411384,16.28565351,67.45099877,38.858671,38.18464097,9.906926366,16.54914973
63,61.26596934,75.90600186,16.44112865,67.28307042,38.90097638,38.22389745,10.01882142,16.63210286
64,61.34303297,75.90056409,16.6069354,67.11638683,38.95591896,38.25796089,10.13223493,16.52841145
65,61.41339577,75.91042449,16.64398074,66.95065708,39.020744,38.25856579,10.2362464,16.98465367
66,61.48193597,75.89017728,16.7951633,66.78659997,39.06063265,38.28928157,10.34870996,16.73579428
67,61.54113762,75.92634764,16.78890906,66.62297363,39.07123704,38.2766468,10.45187075,17.10908337
68,61.61310057,75.94870093,16.97098426,66.46139458,39.17263975,38.32692725,10.5634765,17.3164662
69,61.68791675,75.92832074,17.04128224,66.30106904,39.2281395,38.35401012,10.67613079,17.10908337
70,61.76520429,76.02811963,16.96938144,66.1408801,39.18897424,38.34609742,10.77998339,17.27498963
