cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,43.88737402,62.71281188,44.45252157,80.66535999,63.97715833,0,0,0
1,43.88737402,62.6920544,8.425157964,80.41604997,51.7647928,32.15142831,0,37.78515139
2,45.39771671,62.89021673,15.50564056,80.27163842,54.02386159,35.92863218,0.698363886,38.7391124
3,46.65147941,63.05832586,18.50139616,80.12915153,55.08707338,37.96719966,1.391029593,39.02944836
4,47.75135022,63.20339441,20.15344846,79.99016637,55.95867363,39.13191009,2.054618591,39.63085856
5,48.76723024,63.33958841,20.93857896,79.85344179,56.4395137,39.87059251,2.709345621,40.48112816
6,49.71513574,63.46822765,21.47069211,79.71846076,56.59563178,40.381413,3.34765468,39.17461634
7,50.53066432,63.57644543,21.4508759,79.58298534,56.80737134,40.76371295,3.941644158,41.12401493
8,51.33920151,63.68361761,21.99340442,79.45067415,56.78445532,41.1900811,4.548015587,38.7391124
9,51.96899289,63.76885889,21.49606246,79.31270375,56.34677015,41.1165102,5.084431324,38.51099129
10,52.55574563,63.84630115,21.41940227,79.1778837,56.61797178,41.32645977,5.595342939,41.49730402
11,53.20828312,63.93219061,22.39881414,79.05037678,57.04394686,42.04563233,6.140825808,40.79220241
12,53.75721225,64.00614507,22.7085204,78.92185645,57.13720597,42.29627227,6.652732583,40.23226877
13,54.25132174,64.07109881,22.49524865,78.79233796,57.04620497,42.39967998,7.133797912,40.50186645
14,54.71293119,64.12994809,22.5249168,78.66272702,56.80656997,42.46065245,7.59853327,40.06636251
15,55.11735945,64.18555501,22.57849612,78.53422049,56.89005311,42.64331422,8.037030865,40.46038988
16,55.51523694,64.23785202,22.7579762,78.40620786,56.78563679,42.78901886,8.473155138,40.66777271
17,55.87228649,64.28598311,23.1619829,78.27887947,56.68534705,43.02239511,8.899609244,40.39817503
18,56.21330512,64.32852849,22.96704147,78.15314501,56.87147468,43.08119051,9.296327776,41.02032352
19,56.53969041,64.3712331,22.95576161,78.02808997,56.79144341,43.11401298,9.689122217,40.3152219
20,56.82433107,64.4098784,22.87910649,77.90317758,56.85718193,43.17334212,10.06165166,40.27374533
21,57.08876849,64.44534824,22.6939956,77.77755401,56.66164335,43.14116274,10.42398759,40.10783907
22,57.29231151,64.47293569,22.77653591,77.65226578,56.56725452,43.18412942,10.75715483,40.66777271
23,57.5286772,64.50518564,23.24694677,77.53051012,56.85497425,43.49419272,11.09615396,40.9166321
24,57.77231948,64.53989991,23.22203992,77.4083319,56.7342572,43.55070637,11.42056772,39.79676483
25,57.9436955,64.56150828,22.89750747,77.28470345,56.63431648,43.46041063,11.71419508,40.50186645
26,58.15026687,64.58975461,23.14024309,77.16344126,56.685489,43.60822485,12.01029934,40.62629614
27,58.34266201,64.61827723,23.19032326,77.04387778,56.8541519,43.77968488,12.30305395,41.20696806
28,58.55538294,64.64855892,23.51760742,76.92647105,57.02539497,43.99382415,12.59350737,40.48112816
29,58.73185792,64.67129737,23.21800299,76.80534555,56.57360526,43.85544595,12.85222459,39.73454998
30,58.84921947,64.68780827,22.89915012,76.68341816,56.33521391,43.64423864,13.09011979,40.37743675
31,58.9971893,64.70588993,23.00405163,76.56351955,56.29104361,43.7042353,13.33286015,39.69307341
32,59.12779996,64.72438805,22.82961681,76.44395619,56.40453489,43.72951576,13.55391888,41.68394857
33,59.29093236,64.74138533,23.65176194,76.32959343,56.68338873,44.15017656,13.8063199,41.0410618
34,59.44054556,64.76312044,23.65242122,76.21325168,56.54502005,44.12675285,14.03495274,39.98340937
35,59.56431114,64.77597285,23.09388057,76.09634407,56.56759342,43.87344448,14.23110305,40.56408129
36,59.66579346,64.79075964,23.31855091,75.98073919,56.54022086,43.96012976,14.43075296,41.08253837
37,59.8132521,64.81074768,23.50098706,75.8682505,56.80734174,44.07101821,14.63812137,41.0410618
38,59.91863645,64.82463546,23.59824975,75.75330394,56.42350451,44.03844711,14.84601098,39.67233513
39,59.9940497,64.83871107,23.24210686,75.63698761,56.29042071,43.90170138,15.00269918,40.64703443
40,60.0969802,64.85516479,23.43062588,75.52220715,56.13152235,43.94395112,15.17242283,39.92119453
41,60.17149776,64.86632548,23.12067504,75.40760747,56.18394147,43.88641717,15.32951051,40.68851099
42,60.23601285,64.87369538,23.41210944,75.29561562,56.33334424,44.00641266,15.49619318,41.0410618
43,60.32924425,64.88746345,23.64616954,75.18517187,56.46482689,44.07157502,15.65824879,41.1654915
44,60.41198234,64.89747451,23.79598985,75.07712036,56.79114015,44.26617237,15.8207992,41.93280796
45,60.53141303,64.91377292,24.14050152,74.96926979,56.6679804,44.43457773,15.98530399,40.60555786
46,60.6049104,64.92163692,23.73972578,74.85934941,56.52447887,44.21566227,16.1253702,40.83367897
47,60.66491476,64.92894394,23.66849561,74.7511748,56.59960827,44.26993774,16.26310527,41.49730402
48,60.74189106,64.93733403,23.80097402,74.64381984,56.49467566,44.28480666,16.41125669,39.79676483
49,60.77402242,64.94109426,23.32473886,74.53199484,56.06642576,43.96456661,16.51641693,40.68851099
