cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.05754999,62.24773936,44.33279827,80.13089416,63.5174326,0,0,0
1,44.05754999,62.2463303,7.225601467,79.84413663,44.83637069,31.0543446,0,2.115304853
2,44.1414192,62.257453,6.456004174,79.56441704,37.39863143,29.44122754,0.061253169,2.218996267
3,44.20599875,62.26619185,6.532077879,79.28666133,34.33928736,28.93852469,0.125651494,2.405640813
4,44.26966782,62.27511636,6.625838904,79.01089845,33.08668917,28.73914587,0.19286072,2.364164247
5,44.32141213,62.28191225,6.673703296,78.73651137,32.55460649,28.63138352,0.255248956,2.550808793
6,44.37698106,62.28938005,6.773757662,78.46363986,32.28775709,28.5959533,0.322423786,2.613023642
7,44.4351853,62.29732226,6.819540039,78.19271651,32.24050707,28.56285985,0.385805704,2.986312733
8,44.50255724,62.30572133,6.957007727,77.9244241,32.32034714,28.59388635,0.459261345,3.380340108
9,44.57893594,62.3163157,7.034856191,77.658765,32.45257897,28.64638931,0.537261327,3.380340108
10,44.64217217,62.32522803,7.099389841,77.39387531,32.40446689,28.63129439,0.617507688,3.421816674
11,44.70290026,62.33280602,7.17535256,77.13039573,32.37248032,28.60281298,0.69601619,3.131480713
12,44.74893006,62.33903621,7.109634893,76.86690895,32.20272806,28.50841251,0.758902605,3.131480713
13,44.79376179,62.34434792,7.130888754,76.60554379,32.24959439,28.47840372,0.822503528,3.649937785
14,44.85324038,62.35221601,7.240281702,76.34677883,32.33633607,28.51288332,0.897672374,3.587722937
15,44.90289715,62.35979921,7.281411188,76.0886004,32.26104326,28.48511069,0.968779051,3.546246371
16,44.94385005,62.36572874,7.293360988,75.83181549,32.24475597,28.45043023,1.038031571,3.712152634
17,44.99005023,62.37240416,7.404198881,75.57687234,32.27436737,28.43684931,1.106767997,3.712152634
18,45.03216864,62.37858501,7.409717437,75.32314295,32.26559972,28.39013079,1.173737616,3.836582331
19,45.07800163,62.38424103,7.475500799,75.07070689,32.22084398,28.3836697,1.243478597,3.732890917
20,45.11904636,62.39025659,7.474439158,74.81923066,32.16620237,28.33231063,1.307586281,3.712152634
21,45.15335083,62.39546818,7.479969871,74.56896207,32.12779878,28.28583984,1.368771048,4.04396516
22,45.19490939,62.40118263,7.577303353,74.32082188,32.15666006,28.29878366,1.437833789,4.126918291
23,45.23320991,62.405968,7.66733572,74.07420612,32.1833311,28.28000745,1.507956109,4.168394857
24,45.2799494,62.41264658,7.730753364,73.8291791,32.23138911,28.25612357,1.578224179,4.396515968
25,45.32543835,62.41963871,7.837122809,73.58543774,32.18908865,28.25813191,1.648989219,4.147656574
26,45.36337519,62.42461623,7.793329884,73.34260154,32.17331913,28.22487443,1.708671416,4.603898797
27,45.41348546,62.43146908,7.921700098,73.10228983,32.25251286,28.25547213,1.781370989,4.686851929
28,45.46723998,62.43934324,8.000947391,72.86333947,32.28030299,28.25128617,1.854131723,4.666113646
29,45.50715893,62.44491824,8.027862236,72.625714,32.30942134,28.22848435,1.922438949,4.749066777
30,45.54923368,62.45030937,8.0555004,72.38912926,32.26398622,28.19608991,1.990486362,4.728328494
31,45.59328819,62.45646196,8.059644014,72.15366929,32.22784015,28.15050693,2.058313326,4.91497304
32,45.63338024,62.46186915,8.147588059,71.92002134,32.25614777,28.13242522,2.126332679,5.018664455
33,45.67583313,62.46822928,8.130129079,71.68745703,32.21626546,28.09536217,2.195270863,4.749066777
34,45.70239524,62.47158842,8.119841513,71.45560644,32.18490158,28.05157008,2.253254278,5.205309
35,45.74435277,62.47806687,8.235260995,71.22573157,32.17519972,28.05968491,2.322146156,4.977187889
