cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.38813473,62.07218575,44.44571317,81.04591466,63.82585976,0,0,0
1,44.38813473,62.18051714,8.776508301,80.75791445,45.54527267,31.81703788,0,4.209871423
2,45.34323553,70.78249938,9.330267083,80.48474484,39.05393224,33.12315456,0.123107836,6.345914558
3,46.2423591,72.7080427,11.18125992,80.22039321,37.02677837,34.08998827,0.301366746,8.004977188
4,47.11072886,73.89660589,12.82070575,79.9641153,36.86327299,35.14930923,0.524222028,10.03732891
5,47.97516243,74.86006144,14.67728354,79.71543833,37.30850938,36.27965802,0.795591521,10.94981336
6,48.73678573,75.0041123,15.63108493,79.47023402,37.62404616,36.863861,1.085850039,11.0120282
7,49.44686955,75.46706041,16.09299557,79.22826371,38.0670476,37.35517867,1.370826993,12.50518457
8,50.15567944,75.71658668,17.40710791,78.99360406,38.86730012,38.16117301,1.685555145,14.35089175
9,50.87265977,75.83097743,18.98091619,78.76503097,39.5292555,38.96478141,2.039800883,14.47532144
10,51.54696039,76.14475273,19.46473101,78.5384554,39.91628513,39.344735,2.383072881,15.42928246
11,52.19783678,76.22317571,20.36634931,78.31679505,40.44848725,39.89868065,2.742151625,16.61136458
12,52.84361232,76.40193091,21.44357885,78.10056027,41.07554182,40.47965141,3.129249523,17.54458731
13,53.48590716,76.42883491,22.31615478,77.88714196,41.37689777,40.94330234,3.530235086,17.04686852
14,54.06035508,76.4869813,22.31690606,77.67484186,41.63987624,41.13153052,3.899965392,18.41559519
15,54.59875264,76.39774826,23.39454137,77.46777112,42.07257511,41.54758886,4.294506032,18.58150145
16,55.13208872,76.54927609,23.72646445,77.26250657,42.33791016,41.85591185,4.679064094,19.22438822
17,55.61976176,76.50650286,24.30901012,77.06052935,42.6472734,42.21571725,5.065288401,19.9709664
18,56.12384923,76.49837693,24.97075706,76.86153392,42.90016298,42.50870022,5.456484669,20.05391954
19,56.5862392,76.55912272,25.2280182,76.66477274,43.18816961,42.69936089,5.833588586,20.67606802
20,57.01887977,76.51749108,25.80042155,76.47118948,43.50591864,42.9712292,6.218945633,21.7959353
21,57.49479002,76.55776601,26.86783812,76.28359849,44.1782562,43.54329378,6.624845068,22.79137287
22,57.99901057,76.66589656,27.72944273,76.09913421,44.56206893,43.99738973,7.052071838,23.10244712
23,58.42058089,76.65760331,28.12703795,75.91634391,44.76252833,44.20818414,7.468485071,22.91580257
24,58.8066628,76.66502495,28.23996389,75.73484937,44.95351182,44.27009534,7.865532293,23.2476151
25,59.18963314,76.67150283,28.57388817,75.55540779,45.13009881,44.48422729,8.260201436,23.7245956
26,59.53527786,76.69639537,28.99857734,75.3781852,45.29120281,44.72325183,8.645515868,24.49191207
27,59.90600774,76.69695687,29.66806929,75.20450427,45.59094896,45.08688193,9.039687265,24.65781833
28,60.24906089,76.73299721,30.05278797,75.03345065,45.9626017,45.26767613,9.428748472,25.63251763
29,60.58479752,76.70348646,30.73715564,74.86530086,46.19751864,45.64005482,9.830471066,25.94359187
30,60.92948041,76.80066045,31.13265067,74.69905503,46.38725916,45.81169652,10.22154368,25.77768561
31,61.25278386,76.86785215,31.19907022,74.53355588,46.4916123,45.85816876,10.59107074,26.23392783
32,61.54460525,76.45022197,31.57149768,74.37102858,46.76582187,46.05145195,10.96314635,27.04272086
33,61.85238088,76.34600688,32.22585648,74.2117514,47.07127885,46.26027171,11.34841,27.0012443
34,62.13196408,76.22242512,32.35654109,74.05305975,47.1738466,46.27117199,11.71519558,27.64413107
35,62.40682305,76.14128572,32.88854656,73.89704244,47.35418441,46.51659743,12.08635695,27.7270842
36,62.67114911,76.12460924,33.12578554,73.74282607,47.57242363,46.61762811,12.44330044,28.14184985
37,62.94552704,76.17448794,33.5139344,73.59054775,47.74380576,46.86273757,12.79998444,28.47366238
38,63.19167436,75.99459756,33.81760006,73.44022601,47.92493809,47.00667848,13.15460846,28.9299046
39,63.42873961,75.96056114,34.28134294,73.29288405,48.24653527,47.19138537,13.51544174,29.57279137
40,63.67184202,75.9741433,34.80533569,73.14735174,48.38700865,47.43580416,13.87809862,29.42762339
41,63.90114597,75.99852364,34.81119489,73.00282342,48.52399567,47.51763979,14.22567157,29.82165077
42,64.14661024,76.09663662,35.18266989,72.86071478,48.75497524,47.74369964,14.57373516,30.19493986
43,64.34735469,75.95970127,35.60678485,72.72044427,48.93836942,47.86729998,14.9175353,30.69265865
44,64.58216793,76.02579907,36.03696679,72.58185199,49.04246513,48.08406891,15.26155267,31.02447117
45,64.80759343,76.04804034,36.32882272,72.44525296,49.21086015,48.23591566,15.60474776,30.81708835
46,64.9934731,76.04857175,36.38650772,72.30859866,49.21155054,48.25696051,15.92679624,31.27333057
47,65.1915627,76.06006839,36.68820507,72.17480701,49.44558296,48.45075169,16.24933604,31.4807134
48,65.37618197,76.08748642,36.94100484,72.04240488,49.60611384,48.53557789,16.56644685,32.06138532
49,65.56499499,76.16897989,37.37972056,71.91213413,49.76163874,48.75738217,16.88918514,32.12360017
50,65.7458793,76.14782389,37.52983726,71.78283746,49.85936484,48.81789714,17.19934231,31.60514309
51,65.90015163,76.17670843,37.24998406,71.65263094,49.77532367,48.77344838,17.48241102,32.24802986
52,66.07240122,76.10225019,37.64120776,71.52488887,49.86377688,48.82118705,17.77903342,32.18581501
53,66.22578222,76.18316845,37.66892197,71.39828792,50.00016939,48.92600831,18.05672358,32.74574865
54,66.37376897,76.16050121,38.18089763,71.2742006,50.21814813,49.13397892,18.33765874,33.09829946
55,66.52556274,76.20883655,38.54793578,71.15192636,50.41215607,49.31620604,18.62395733,33.47158855
56,66.68589824,76.2332512,38.89372235,71.03147717,50.59503686,49.43095695,18.90539777,33.69970966
57,66.83689501,76.28899096,39.10591896,70.91185112,50.64520754,49.51815848,19.18327052,33.6582331
58,66.9762607,76.28872644,39.20593786,70.79379155,50.83284748,49.61525544,19.45660122,34.30111987
59,67.12279129,76.28016614,39.73389234,70.67753649,50.94049828,49.80048166,19.73668545,34.28038158
60,67.24056295,76.25549156,39.8806207,70.56295063,51.17167218,49.8783252,20.00832587,34.81957694
61,67.37468915,76.25141349,40.31370874,70.45042456,51.37298797,50.09459676,20.28373048,35.04769805
62,67.52234974,76.29150124,40.56191574,70.33904898,51.4937049,50.16453825,20.55143274,35.04769805
63,67.67655863,76.39276959,40.55741026,70.22845843,51.57796469,50.23986411,20.80785171,35.44172543
64,67.81424938,76.34485652,40.84339567,70.11912927,51.62319993,50.36357883,21.06995854,35.48320199
65,67.95444252,76.4137085,40.98617036,70.01081904,51.70718793,50.47726858,21.32684632,35.35877229
66,68.05560626,76.36344697,40.9443591,69.90261642,51.70175233,50.4519135,21.57079927,35.52467856
67,68.16241057,76.32669321,41.12948394,69.79650775,51.90813126,50.53717377,21.80655542,36.37494815
68,68.29892425,76.4665063,41.73948546,69.69288138,52.09204246,50.82506598,22.0580821,36.00165906
69,68.40802367,76.40429016,41.57951151,69.58819494,52.00511788,50.74993023,22.29188111,36.08461219
70,68.52454283,76.44894554,41.67788162,69.48544144,52.17402347,50.86726836,22.51669441,36.58233098
71,68.64561431,76.40186211,42.02666092,69.38407639,52.25855397,50.96622434,22.74710398,36.60306927
72,68.76475929,76.46417726,42.16996464,69.28362893,52.35536847,51.03951088,22.97005323,36.85192866
73,68.87556768,76.46711542,42.33866632,69.18367839,52.32784887,51.09679213,23.19606885,36.72749896
74,68.9798812,76.45613686,42.36791883,69.0846709,52.41761235,51.13859519,23.41025112,37.1630029
75,69.07407127,76.47902492,42.67696203,68.98783098,52.61589406,51.26006736,23.6299336,37.45333886
76,69.15755866,76.3696399,42.88812756,68.89181023,52.67909233,51.35484389,23.84489219,37.47407715
77,69.26452399,76.47677891,42.95206599,68.79632999,52.70666276,51.34825714,24.05591331,37.39112401
78,69.34182588,76.41960269,42.9315698,68.70076842,52.64346821,51.32927832,24.25778647,37.24595603
79,69.43438277,76.48477644,42.90930109,68.60561887,52.63884655,51.38178994,24.45083132,37.47407715
80,69.50869731,76.42050576,43.06414151,68.51181428,52.71651087,51.36699265,24.6387027,37.82662796
81,69.61516715,76.52208599,43.39078451,68.42028455,52.95393592,51.58338544,24.83349128,38.51099129
82,69.72701312,76.51762482,43.92324179,68.33058935,53.10204838,51.76734138,25.03901957,37.90958109
83,69.80355388,76.50280031,43.54130243,68.23974286,53.05548885,51.66962193,25.21634674,38.34508503
84,69.87927576,76.48060396,43.86580818,68.15079375,53.1566243,51.80382689,25.40186732,38.53172957
85,69.9757663,76.50892127,43.98568899,68.06224188,53.14130267,51.85349328,25.58641603,38.05474907
