cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.01200266,62.44332539,44.4196016,80.60110289,63.04377094,0,0,0
1,44.01200266,62.5272206,8.75952251,80.31565242,45.19504399,31.69502855,0,4.520945666
2,45.00264829,71.33899693,9.523245006,80.04641456,39.0527609,33.14782911,0.135378698,7.051016176
3,45.94384759,72.94885475,11.6386266,79.78625811,37.12183056,34.11283027,0.338568322,8.004977188
4,46.79115091,74.05886921,12.82281339,79.53161757,36.76472232,34.94863639,0.558184986,9.933637495
5,47.63097169,74.72046511,14.55366451,79.28472348,37.17643117,35.92922935,0.833170511,11.0120282
6,48.42894036,75.31698755,15.69224314,79.04275932,37.67779161,36.75094152,1.12884583,11.77934467
7,49.20547339,75.75469405,16.5619939,78.80485471,38.15391365,37.40809855,1.437939186,12.7125674
8,49.9264308,75.7987631,17.57057767,78.57196003,38.73818247,38.03803855,1.760618877,13.58357528
9,50.63954524,76.26251328,18.42920502,78.34334381,39.26915632,38.67261621,2.093112075,14.20572377
10,51.30242871,76.3900951,19.15185768,78.1185748,39.77454099,39.15685813,2.431902567,15.26337619
11,51.94456476,76.49012407,20.108932,77.89820778,40.24706058,39.70990837,2.785896185,16.05143094
12,52.55449616,76.56440855,20.8773978,77.68150956,40.66054038,40.21610708,3.151935773,16.69431771
13,53.16220167,76.51740225,21.64218745,77.46859728,41.10908669,40.57611798,3.525577379,17.64827872
14,53.74950689,76.51036953,22.4895102,77.25998777,41.58212455,41.01429711,3.908751996,18.72666943
15,54.31060728,76.43506587,23.53332965,77.05584097,42.05867444,41.55790894,4.308652386,18.91331398
16,54.84020459,76.55919777,23.88047502,76.85388573,42.40320353,41.8123904,4.697526263,19.3695562
17,55.36416897,76.62447902,24.42239396,76.65482737,42.73591006,42.13227939,5.080792509,19.6184156
18,55.83610602,76.59093685,24.71249233,76.45693067,42.83405721,42.28521655,5.458936798,19.86727499
19,56.27323015,76.61891272,25.10063998,76.26188618,43.11178439,42.53588811,5.830471651,21.11157196
20,56.76820441,76.70773252,26.06050657,76.07114904,43.44812455,42.96917166,6.226964153,21.31895479
21,57.2198597,76.70140069,26.51309729,75.88380065,43.93999627,43.2900985,6.616316061,22.68768146
22,57.66695949,76.5890271,27.63384815,75.70076253,44.34260011,43.74784524,7.029286172,22.56325176
23,58.07625947,76.67100158,27.9096114,75.51966538,44.71456012,43.99827561,7.418197398,23.1231854
24,58.48876591,76.74519458,28.28851022,75.34027,44.85233427,44.22471302,7.810413212,23.51721277
25,58.88427229,76.79529628,28.84747305,75.16415086,45.19634971,44.59043459,8.195706945,24.24305268
26,59.27892966,76.86000324,29.42096649,74.99078484,45.45929219,44.91354338,8.595200026,24.51265035
27,59.64201306,76.89076434,29.77779947,74.81898971,45.61112641,45.07679181,8.990936525,24.51265035
28,60.0031634,76.87412947,29.94844433,74.64933442,45.88097142,45.26739227,9.367188102,25.50808793
29,60.35971505,76.92740543,30.69543806,74.48339853,46.20549139,45.63902001,9.758787045,26.13023642
30,60.68737479,76.96026465,31.30464501,74.31979769,46.42428672,45.8809046,10.15459415,26.33761925
31,61.03317742,77.02700364,31.70823962,74.1588161,46.7566435,46.1425223,10.54378139,27.16715056
32,61.3603238,76.69759789,32.43326085,74.00109016,47.0822797,46.38779928,10.9356681,27.37453339
33,61.6833373,76.49359123,32.64323227,73.84461959,47.24200452,46.5208321,11.32097019,27.35379511
34,61.98456852,76.49528276,32.81253218,73.68939735,47.38806099,46.61888882,11.69093743,27.58191622
35,62.26452649,76.42839873,33.03247528,73.5358092,47.5262851,46.78497176,12.05589385,28.4529241
36,62.54745534,76.29148029,33.69865464,73.38490971,47.66802333,46.96802383,12.43061777,28.12111157
37,62.8112196,76.28980086,33.62166308,73.23506349,47.86090464,46.97483418,12.77984289,29.36540854
38,63.1057139,76.26969229,34.55699463,73.08939959,48.17770658,47.46679918,13.15570959,29.0543343
39,63.34188042,76.20772174,34.55925559,72.94348791,48.23089877,47.44792128,13.50485077,29.40688511
40,63.60822386,76.23542658,34.82406714,72.79935039,48.32892802,47.59599436,13.85040098,29.57279137
41,63.85324004,76.19783802,35.03402055,72.65684833,48.47353374,47.69660394,14.18893941,29.7801742
42,64.07853624,76.17424936,35.20925853,72.51627538,48.67631225,47.87213156,14.52079671,30.48527582
43,64.31792251,76.23182159,35.85786088,72.3786321,48.94200841,48.14589401,14.86400183,30.7548735
44,64.54856112,76.2830745,36.19418094,72.24276282,49.16338895,48.33871594,15.20315269,31.41849855
45,64.78408063,76.29504059,36.73140718,72.10887938,49.29673988,48.54422545,15.5459637,31.08668602
46,64.9863562,76.26908096,36.74790416,71.97578181,49.45637351,48.55509443,15.86828453,31.85400249
47,65.17910802,76.23812059,37.19513408,71.84543994,49.66560507,48.75114882,16.20004276,31.81252592
48,65.35477595,76.21321723,37.40723093,71.71612524,49.8259162,48.86155775,16.51535616,32.49688926
49,65.56405838,76.27130668,37.92878568,71.58968195,50.07870401,49.13825148,16.84419055,32.91165491
50,65.77433546,76.3585112,38.38312353,71.4653792,50.32555595,49.36499921,17.17087854,33.28494401
51,65.95607754,76.32743952,38.64356342,71.34224335,50.41817882,49.45693009,17.49218045,32.82870178
52,66.14134041,76.32043051,38.4104283,71.2191961,50.4856901,49.42703698,17.79044807,33.67897138
53,66.33721676,76.37835461,39.01573218,71.09908728,50.66903903,49.65583233,18.10422526,33.74118623
54,66.51297173,76.38764362,39.26339889,70.98086628,50.94290831,49.81841181,18.40329613,34.77810037
55,66.69204542,76.44544706,40.10295907,70.86599449,51.23963277,50.16290014,18.72593462,34.77810037
56,66.87453161,76.4153768,40.24516301,70.75226884,51.46132593,50.23173627,19.0428007,35.52467856
57,67.06693122,76.44243292,40.86576818,70.64097438,51.66305293,50.49726055,19.36217781,35.35877229
58,67.2437092,76.42851369,40.90570151,70.530571,51.84556177,50.66775918,19.66424619,36.06387391
59,67.44989098,76.5062625,41.39689682,70.42262408,52.05092532,50.87848738,19.98121416,35.66984654
60,67.60394962,76.49841824,41.28565477,70.31458007,52.13596794,50.86308601,20.27214764,36.25051846
61,67.77706421,76.54982766,41.66637233,70.2085238,52.25683171,51.04260756,20.57184601,36.437163
62,67.96785066,76.67625724,41.88561788,70.1028983,52.23914639,51.16917126,20.86822543,36.12608876
63,68.10237611,76.55727857,41.7460773,69.99755124,52.26850377,51.11144362,21.14393983,36.5615927
64,68.23189568,76.55624194,42.07722517,69.89377788,52.3384681,51.22013841,21.42311521,36.54085442
65,68.36349068,76.62829233,42.104084,69.7903689,52.34437624,51.19751736,21.68630497,36.54085442
66,68.46502874,76.6109259,42.16335615,69.68844636,52.50612846,51.26026316,21.94422497,37.14226462
67,68.58552825,76.59753842,42.59718666,69.58782185,52.54416497,51.41390083,22.20531794,36.72749896
68,68.71021782,76.615316,42.38046508,69.48635704,52.44458927,51.33465924,22.44275462,36.64454583
69,68.80059114,76.57216944,42.33822142,69.3861299,52.53873257,51.31996898,22.67465472,37.61924513
70,68.9327371,76.60232644,43.10274204,69.2895579,52.84178982,51.68924486,22.93105384,37.93031937
71,69.06466231,76.63196725,43.43506496,69.19407629,52.98953827,51.84990716,23.18344071,37.51555371
72,69.15583877,76.58451558,43.15755904,69.09768181,52.92891567,51.6933844,23.41512678,37.66072169
73,69.26709016,76.67313762,43.33057142,69.00342984,53.13578268,51.86088663,23.64487698,38.36582331
74,69.40375771,76.71250219,43.84317125,68.91173267,53.3838985,52.09807559,23.88264083,38.80132725
75,69.51964939,76.62124565,44.27019318,68.8213185,53.5086492,52.26813681,24.12470031,38.63542099
76,69.6465265,76.68010136,44.28539849,68.73113205,53.5659549,52.3131282,24.35428133,39.02944836
77,69.76658371,76.70690435,44.63165466,68.64314978,53.77660861,52.4861891,24.58702432,39.25756947
78,69.88881253,76.74463769,44.83209205,68.55578657,53.83337427,52.54405094,24.81700406,39.38199917
79,70.00183361,76.71541714,44.95137252,68.46923999,53.8853302,52.59329423,25.04314471,39.21609291
80,70.0982375,76.72607514,44.84636123,68.38238267,53.82709528,52.52670495,25.25850104,39.21609291
81,70.20675879,76.77403635,44.8427453,68.2961686,53.83436078,52.61361784,25.46585247,39.44421402
82,70.27662471,76.72634917,45.03548259,68.21165818,53.98350303,52.68950741,25.67495397,39.67233513
83,70.37447862,76.76539953,45.200376,68.12816963,54.08656732,52.72908624,25.88309377,39.77602655
84,70.4617255,76.80813549,45.45456574,68.04660271,54.35268054,52.90094881,26.0820967,40.60555786
85,70.56101725,76.75335326,46.04114711,67.96627712,54.3831754,53.06074653,26.29198968,40.1907922
86,70.65597303,76.76469314,45.83850645,67.88536984,54.33889267,53.0303179,26.48479144,40.21153049
87,70.7431103,76.80852039,45.88584101,67.80608727,54.51386127,53.13528654,26.67266194,40.97884695
88,70.84861103,76.76830132,46.35183353,67.7285176,54.60684515,53.32678683,26.87638713,40.77146412
89,70.95753162,76.82528342,46.3844385,67.65129556,54.69370196,53.35302381,27.07263033,40.66777271
90,71.05366824,76.82935734,46.33005093,67.57385351,54.6554138,53.31171052,27.25648659,40.68851099
91,71.12255625,76.76628486,46.34150677,67.4971051,54.68151685,53.32154469,27.43608084,41.06180008
