cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.19406341,62.3726762,44.25511554,81.0511323,63.36975038,0,0,0
1,44.19406341,62.41877901,8.779511237,80.76389511,45.47336675,31.90689809,0,4.4794691
2,45.20127847,71.25446003,9.626971607,80.49314964,39.37349323,33.42473213,0.132301799,7.382828702
3,46.17587614,72.96919739,11.88403235,80.23201348,37.44829426,34.62894088,0.344793596,8.295313148
4,47.0373782,74.06705639,13.02393788,79.9762388,37.07409211,35.35501995,0.5767955,9.518871837
5,47.86952218,74.90828362,14.34919399,79.72698138,37.46064505,36.2559231,0.837145671,11.05350477
6,48.66244531,75.41966969,15.75004862,79.48385189,38.02644367,37.11851909,1.131225112,12.38075487
7,49.4225832,75.69711145,16.94088568,79.24652121,38.67045447,37.90721528,1.448086492,12.8369971
8,50.12265943,76.00639472,17.77483887,79.01283879,39.22778266,38.47459622,1.766297138,14.43384488
9,50.82947521,76.05259174,19.01721725,78.78506177,39.81927928,39.17255008,2.120675203,14.7656574
10,51.46903491,76.16440669,19.66993659,78.56046238,40.31410337,39.64535874,2.474596056,15.94773953
11,52.1145453,76.31576703,20.63928451,78.34068844,40.82159852,40.21214996,2.844244596,16.50767316
12,52.74715747,76.5015868,21.34802183,78.12427446,41.26064074,40.69095361,3.223449741,17.56532559
13,53.3848145,76.72423216,22.41131472,77.91316855,41.86293962,41.26810484,3.616633104,18.47781004
14,53.98953474,76.66740214,23.3346917,77.70651772,42.43769876,41.81976222,4.019465004,19.68063044
15,54.60847307,76.7148821,24.40643497,77.50467304,42.98488933,42.36179114,4.447056743,20.19908752
16,55.18539522,76.73951341,24.99844154,77.30503533,43.27262466,42.68503149,4.874653981,20.36499378
17,55.70119851,76.73026386,25.30559769,77.1077016,43.56081294,42.94390912,5.290579793,20.92492742
18,56.22013688,76.74900196,25.88826282,76.91287557,43.78202963,43.24287296,5.708578457,21.27747822
19,56.68784094,76.764717,26.2956597,76.72012318,43.95523982,43.41379388,6.11713076,21.36043136
20,57.14400676,76.72859633,26.58921964,76.53002681,44.28119845,43.67303586,6.509963682,22.95727914
21,57.6103615,76.72433775,27.83300899,76.34630419,44.89137303,44.27311799,6.941027321,23.62090419
22,58.08559292,76.76002952,28.54053466,76.1657651,45.3476055,44.69326292,7.380138082,24.61634177
23,58.54126504,76.76620854,29.47524424,75.98963808,45.85694945,45.13542293,7.825634325,25.01036914
24,58.9889685,76.85400507,30.00309445,75.81591644,46.21860161,45.40285008,8.267483821,25.65325591
25,59.41670122,76.84296479,30.603267,75.64514642,46.54237216,45.78250819,8.718027798,25.59104106
26,59.81895574,76.83545036,30.72357563,75.47459812,46.58788512,45.83933013,9.138857498,25.77768561
27,60.21126103,76.89199229,30.96314863,75.3061729,46.76031113,46.07231083,9.552339034,26.37909581
28,60.59591221,76.92701065,31.42791464,75.14008882,46.91702012,46.25521163,9.965479262,26.66943177
29,60.94201454,76.91435182,31.92638588,74.97684688,47.23704647,46.51184744,10.37465772,27.51970137
