cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.18984462,62.16411826,44.53866646,80.64031075,63.89890011,0,0,0
1,44.18984462,62.09951037,8.621043079,80.35196567,45.24237464,31.66063585,0,2.695976773
2,44.28897058,62.11353885,8.0226298,80.07328802,38.11450473,30.06858154,0.077435545,3.504769805
3,44.40676416,62.13026734,8.745186223,79.79821471,35.2796094,29.80713143,0.176705358,3.836582331
4,44.52126756,62.1461183,9.130907276,79.52590139,34.2175917,29.73971653,0.28053375,4.18913314
5,44.63492755,62.16233553,9.486683646,79.25568215,33.7824848,29.76095974,0.391169969,4.251347988
6,44.74074636,62.17693944,9.585081012,78.98707327,33.61016016,29.77079069,0.498855602,4.396515968
7,44.84155207,62.19170576,9.707721524,78.72039319,33.58254789,29.78640396,0.606714345,4.583160514
8,44.93967613,62.20588245,9.858587197,78.45487618,33.47865775,29.80138728,0.715582542,4.562422231
9,45.02729485,62.21831756,9.928220111,78.19125093,33.51955382,29.78469272,0.822242685,4.91497304
10,45.12513419,62.23318066,10.23158155,77.93010969,33.62323687,29.85121514,0.935185471,5.267523849
11,45.22587627,62.24723896,10.60730929,77.67186873,33.82689589,29.97969244,1.052731739,5.620074658
12,45.33001416,62.26178136,10.88615535,77.41563877,33.92839496,30.0528308,1.177362829,5.557859809
13,45.42450417,62.27498883,10.86185642,77.16004141,33.86988384,29.99970251,1.296901699,5.578598092
14,45.51658735,62.28748629,10.91097307,76.90643925,33.94634022,30.01874979,1.413155647,5.868934052
15,45.60466437,62.30030008,11.16267136,76.65430247,33.92225889,30.05520702,1.531091629,5.910410618
16,45.69342021,62.31248212,11.23151514,76.40378435,33.94728451,30.07662479,1.649062453,5.931148901
17,45.77686677,62.32389089,11.25664389,76.15447087,33.93097157,30.05597536,1.758739906,5.993363749
18,45.85209152,62.33361101,11.35735074,75.90714482,34.01582503,30.07615201,1.867798697,6.42886769
19,45.93963735,62.34598946,11.72589881,75.66233215,34.13873629,30.13213295,1.989794251,6.553297387
20,46.02369653,62.35877291,11.82247857,75.41837169,34.08585053,30.15052017,2.105544452,6.366652841
21,46.09693511,62.36915334,11.74115492,75.1752704,34.03987114,30.08979866,2.211360149,6.636250518
22,46.1784882,62.38064743,11.99751767,74.93479197,34.17071922,30.1441292,2.322044793,6.926586479
23,46.25647036,62.39061947,12.20596745,74.69578759,34.18521135,30.17008937,2.439036216,6.822895064
24,46.32408493,62.39936102,12.24689821,74.45822067,34.24667647,30.17000128,2.548530743,7.175445873
