cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,43.533749,62.00208756,44.08952862,81.20512157,63.46670546,0,0,0
1,43.533749,62.00773658,8.63987192,80.91595754,45.37121449,32.11336714,0,4.417254251
2,44.57038203,70.96772942,9.384080792,80.64218163,39.00525832,33.53936645,0.126672303,6.345914558
3,45.49781942,72.57608291,11.19085619,80.37683289,37.02269827,34.37742654,0.312267315,8.108668602
4,46.37128219,73.66302645,12.77724899,80.11816514,36.61895665,35.29259739,0.542605721,9.373703857
5,47.18853608,74.36981594,14.05919455,79.865639,36.91631157,36.20602972,0.795476542,10.36914144
6,47.98743204,74.96856923,15.17104995,79.61865909,37.48570666,37.01740459,1.071447886,11.92451265
7,48.75384132,75.2570097,16.54696105,79.37859419,38.25507314,37.8860407,1.378363469,13.08585649
8,49.52112582,75.61491563,17.82451974,79.14443477,39.05583182,38.74007312,1.713271424,14.47532144
9,50.25167313,75.82405507,19.05926213,78.91508039,39.63027973,39.38970628,2.071438727,14.70344255
10,50.94355283,75.9490733,19.55611998,78.68854301,40.08687851,39.73304902,2.420470576,15.42928246
11,51.59009274,75.9857613,20.28092802,78.46567679,40.50468985,40.19183446,2.778552262,16.2173372
12,52.19066011,75.95807432,21.03500553,78.24627267,40.85651122,40.64995223,3.147375697,16.4661966
13,52.78317935,76.18650119,21.50468661,78.02998521,41.26852267,40.94419743,3.505720995,17.62754044
14,53.35623189,76.09598945,22.46918729,77.81802751,41.66798134,41.42914382,3.891582998,18.39485691
15,53.92801821,76.20956162,23.26134878,77.61050808,42.19002243,41.94404922,4.28592657,19.51472418
16,54.52312909,76.35723366,24.24593782,77.40756453,42.69902893,42.49301298,4.695231665,19.6184156
17,55.04890997,76.31734831,24.53733313,77.2047289,42.73240315,42.65941709,5.091250012,19.34881792
18,55.54000929,76.3692128,24.51973512,77.0037101,42.94149461,42.72096652,5.465476951,20.38573206
19,56.031899,76.35660046,25.42512879,76.80709605,43.31461006,43.1148095,5.852367042,20.9456657
20,56.53387164,76.36284645,26.03999237,76.61355728,43.66848285,43.50249059,6.247834986,21.58855247
21,56.98339776,76.32407969,26.68560203,76.4228196,43.9498108,43.78527861,6.643778944,21.92036499
