cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.12792405,62.31668636,44.20340889,80.34538248,63.75550189,0,0,0
1,44.12792405,62.32803821,7.19083496,80.05872026,45.11621216,31.38180716,0,2.405640813
2,44.22282464,62.33972796,6.45483376,79.7796712,37.73173147,29.79512685,0.07127808,2.281211116
3,44.2870541,62.34815697,6.498687973,79.50202049,34.66916879,29.27497478,0.135733829,2.737453339
4,44.3621995,62.3583515,6.67763876,79.22705617,33.46293364,29.119644,0.211107923,2.716715056
5,44.43088694,62.36852427,6.752314084,78.95321871,32.90628629,29.01020693,0.285096954,2.695976773
6,44.49099545,62.37627911,6.762757542,78.6806345,32.64131399,28.94570927,0.354604581,2.841144753
7,44.55128323,62.38405205,6.801596696,78.40969485,32.52133128,28.91764575,0.427064144,2.944836168
8,44.60833915,62.39065767,6.868311967,78.14021042,32.44427305,28.89671409,0.497374159,2.944836168
9,44.66037564,62.39767044,6.902181835,77.87240136,32.45233892,28.86378182,0.562007789,3.193695562
10,44.71800644,62.40550938,6.989754288,77.60664472,32.49469245,28.85073258,0.634624866,3.131480713
11,44.76992605,62.41236045,7.039147406,77.34162597,32.4201516,28.80945291,0.703376144,3.172957279
12,44.81993333,62.41957883,7.058518181,77.07821611,32.41057284,28.77477518,0.770234004,3.131480713
13,44.85795509,62.42537691,7.062619324,76.81601523,32.38483274,28.74498632,0.831692165,3.504769805
14,44.91274626,62.43278363,7.165975945,76.5560058,32.40986733,28.74610157,0.905367666,3.338863542
15,44.95305452,62.43884497,7.148487597,76.29699663,32.4015723,28.69967126,0.969639044,3.504769805
16,44.99940515,62.44569353,7.253813497,76.03950253,32.37750133,28.68072282,1.036858872,3.401078391
17,45.04089112,62.45149119,7.236548727,75.78316051,32.3608344,28.63441048,1.095840354,3.670676068
18,45.08093407,62.45681528,7.286062321,75.5286258,32.35567807,28.61797946,1.159803076,3.795105765
19,45.12772581,62.46352238,7.333672445,75.27544719,32.32249722,28.58857331,1.227918289,3.878058897
