cycle,avg_know,avg_att,avg_pbc,avg_moral,avg_sn,avg_int,avg_habit,participation
0,44.283713,62.9079481,44.30212674,80.34376447,63.03050295,0,0,0
1,44.283713,62.90887818,8.738790249,80.05879125,45.13774142,31.95587849,0,4.4794691
2,45.28243824,71.62380622,9.491682488,79.79030168,39.01350541,33.51827546,0.132634374,7.133969307
3,46.22141691,73.34663385,11.74895906,79.53205654,37.24115479,34.53671676,0.335481481,8.81377022
4,47.0978123,74.3254083,13.39013057,79.28026467,36.91164861,35.51028992,0.583087799,9.767731232
5,47.91718725,75.15589539,14.56739418,79.03434515,37.28439102,36.37361415,0.847341596,10.86686022
6,48.7069466,75.63493565,15.64592259,78.79278334,37.66680353,37.07931278,1.135235212,12.04894235
7,49.47834533,75.95926088,16.80648429,78.55632692,38.15395942,37.82311495,1.446099061,12.50518457
8,50.17136406,76.06903288,17.42941159,78.32372495,38.67764001,38.27888278,1.759020863,13.562837
9,50.89685621,76.46206957,18.4592544,78.09549063,39.1449138,38.9221144,2.091734344,14.26793861
10,51.54998373,76.50896737,19.25456105,77.87162203,39.68782834,39.40356544,2.429465056,15.45002074
11,52.21332891,76.72594588,20.29470746,77.65237252,40.18175342,40.03314102,2.791812441,16.11364579
12,52.82230479,76.7954703,21.01708691,77.43672028,40.62677488,40.44377973,3.161871068,16.48693488
13,53.40255208,76.80542832,21.55429343,77.22430901,41.07036796,40.75845942,3.529133867,17.64827872
14,53.98049111,76.83847579,22.56287224,77.01672034,41.56897178,41.30256446,3.921256004,18.83036085
15,54.58310625,76.8890933,23.65592989,76.81434158,42.15583075,41.92232398,4.329376683,19.43177105
16,55.12106069,76.85890251,24.37261434,76.61530249,42.63078887,42.30496457,4.741412027,20.51016176
17,55.67078465,76.79276495,25.37819134,76.42077277,43.12551368,42.87938993,5.170421175,20.73828287
18,56.18844695,76.98413397,25.72920671,76.22777955,43.36558156,43.19404929,5.586762568,21.02861883
19,56.68372198,76.9673134,26.11313059,76.03743466,43.66402411,43.39894984,5.990535533,21.75445873
20,57.15347581,76.9604539,26.76349237,75.84973884,43.87388365,43.75196816,6.402705812,21.65076732
21,57.60835852,77.01170315,26.90788527,75.66456543,44.24653227,43.99077229,6.796382137,23.14392368
22,58.05103444,76.95779112,28.12494974,75.48510064,44.80016265,44.48009421,7.223402077,24.03566985
23,58.50469135,76.96939609,29.05732054,75.30915097,45.22968242,44.87391366,7.659272012,23.86976358
24,58.93666753,77.03176866,29.1476157,75.1344854,45.52115302,45.05133785,8.072887129,24.78224803
25,59.3636853,77.0898596,29.83566254,74.96258064,45.71264602,45.35571445,8.495554776,24.80298631
26,59.75142965,77.12561892,30.01376893,74.7918239,45.83444539,45.50680653,8.900679295,25.25922854
27,60.12736148,77.18416861,30.41955397,74.62391904,46.09049333,45.69080706,9.308530364,25.5495645
28,60.47989641,77.1051383,30.82750526,74.45828123,46.35438806,45.87547808,9.704253852,26.04728328
29,60.81479111,77.14410821,31.30649207,74.29524824,46.62466409,46.10985451,10.09988961,26.60721692
30,61.15250172,77.17356499,31.85817338,74.13508295,46.92562472,46.3931567,10.49879354,27.22936541
31,61.48600174,77.25911197,32.44968561,73.97760701,47.19967702,46.74472155,10.90322905,27.43674824
32,61.80865254,76.91434175,32.74058279,73.82184867,47.41310477,46.80477172,11.29645307,27.91372874
33,62.12976135,76.79088584,33.14995927,73.66849094,47.64387143,47.08486254,11.69196769,28.3284944
34,62.44334625,76.70670495,33.48703915,73.51696446,47.805676,47.26301658,12.08136846,28.10037329
35,62.7230927,76.61758017,33.42068426,73.36559008,47.82944761,47.21405335,12.44621499,28.5773538
36,62.97306834,76.50381815,33.87007141,73.21662605,47.97943935,47.45627078,12.81632204,28.82621319
37,63.2568678,76.51895171,34.16852832,73.06983691,48.21129602,47.63035232,13.17958107,29.38614683
38,63.52145396,76.49629224,34.65845999,72.92496061,48.35598885,47.83827434,13.54158981,29.36540854
39,63.78949451,76.55846242,34.80670743,72.78111202,48.46874396,47.96163617,13.89244354,29.84238905
40,64.04491848,76.53013734,35.2243345,72.63997044,48.71748779,48.16375592,14.24008643,30.3815844
